npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	256	1088	8	4	1024	922	1024									200000	200000	200000
charsi	256	960	8	4	1024	922	1024									200000	200000	200000
akara	256	1024	8	4	1024	922	1024									200000	200000	200000
lysander	256	1024	8	9	1024	922	1024									200000	200000	200000
drognan	256	1024	8	9	1024	922	1024									200000	200000	200000
elzix	256	1024	8	9	1024	922	1024									200000	200000	200000
fara	256	1024	8	9	1024	922	1024									200000	200000	200000
hratli	256	1024	8	17	1024	922	1024									200000	200000	200000
alkor	256	1024	8	17	1024	922	1024									200000	200000	200000
ormus	256	1024	8	17	1024	922	1024									200000	200000	200000
asheara	256	1024	8	17	1024	922	1024									200000	200000	200000
jamella	256	1024	8	41	1024	922	1024									200000	200000	200000
halbu	256	1024	8	41	1024	922	1024									200000	200000	200000
malah	256	2048	8	41	1024	922	1024	35	1024	512	1024					200000	200000	200000
drehya	256	2048	8	41	1024	922	1024	35	1024	512	1024					200000	200000	200000
larzuk	256	2048	8	41	1024	922	1024	35	1024	512	1024					200000	200000	200000
nihlathak	256	2048	8	41	1024	922	1024	35	1024	512	1024					200000	200000	200000
