description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Horadric Staff: Staff of Kings + Viper amulet	1			0	28				2	msf	vip						hst																																																																																							0
Khalim's Will: Khalim's Flail + Heart + Eye + Brain	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
Cow Portal: Club + 1 TP Tome	1			0	28				2	"club,any"	tbk						Cow Portal																																																																																							0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					3	"scha,mag"	ddd	vps					"cx0,nor"				mag%			-25	-25																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					4	"scha,mag"	ddd	"vps,qty=2"					"cx0,nor"				mag%			-50	-50																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					5	"scha,mag"	ddd	"vps,qty=3"					"cx0,nor"				mag%			-75	-75																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					6	"scha,mag"	ddd	"vps,qty=4"					"cx0,nor"				mag%			-100	-100																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					3	"scha,mag"	ddd	mpot					"cx0,nor"				mana%			-2	-2																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					4	"scha,mag"	ddd	"mpot,qty=2"					"cx0,nor"				mana%			-4	-4																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					5	"scha,mag"	ddd	"mpot,qty=3"					"cx0,nor"				mana%			-8	-8																																																																															0
Negative MF Charm: SC + Decipherer + Stamina Pot	1			100					6	"scha,mag"	ddd	"mpot,qty=4"					"cx0,nor"				mana%			-16	-16																																																																															0
Rejuv Pot: 3 Health Pots + 3 Mana Pots + 1 C-Gem	1			100					7	"hpot,qty=3"	"mpot,qty=3"	gem0					rvs																																																																																							0
Full Rejuv Pot: 3 Health Pots + 3 Mana Pots + 1 N-Gem	1			100					7	"hpot,qty=3"	"mpot,qty=3"	gem2					rvl																																																																																							0
Full Rejuv Pot: 3 Rejuv Pots	1			100					3	"rvs,qty=3"							rvl																																																																																							0
Rejuv Pot: Heart + Soul	1			100					2	hrt	sol						rvs																																																																																							0
2 Rejuv Pots: 2 Hearts + 2 Souls	1			100					4	"hrt,qty=2"	"sol,qty=2"						rvs																													rvs																																																										0
Full Rejuv Pot: 3 Hearts + 3 Souls	1			100					6	"hrt,qty=3"	"sol,qty=3"						rvl																																																																																							0
healing potion upgrade	1			100					3	"hp1,qty=3"							hp2																																																																																							0
healing potion upgrade	1			100					3	"hp2,qty=3"							hp3																																																																																							0
healing potion upgrade	1			100					3	"hp3,qty=3"							hp4																																																																																							0
healing potion upgrade	1			100					3	"hp4,qty=3"							hp5																																																																																							0
healing potion upgrade	1			100					9	"hp1,qty=9"							hp3																																																																																							0
healing potion upgrade	1			100					9	"hp2,qty=9"							hp4																																																																																							0
healing potion upgrade	1			100					9	"hp3,qty=9"							hp5																																																																																							0
healing potion upgrade	1			100					5	"hp2,qty=2"	"hp1,qty=3"						hp3																																																																																							0
healing potion upgrade	1			100					5	"hp3,qty=2"	"hp2,qty=3"						hp4																																																																																							0
healing potion upgrade	1			100					5	"hp4,qty=2"	"hp3,qty=3"						hp5																																																																																							0
healing potion upgrade	1			100					7	hp2	"hp1,qty=6"						hp3																																																																																							0
healing potion upgrade	1			100					7	hp3	"hp2,qty=6"						hp4																																																																																							0
healing potion upgrade	1			100					7	hp4	"hp3,qty=6"						hp5																																																																																							0
mana potion upgrade	1			100					3	"mp1,qty=3"							mp2																																																																																							0
mana potion upgrade	1			100					3	"mp2,qty=3"							mp3																																																																																							0
mana potion upgrade	1			100					3	"mp3,qty=3"							mp4																																																																																							0
mana potion upgrade	1			100					3	"mp4,qty=3"							mp5																																																																																							0
mana potion upgrade	1			100					9	"mp1,qty=9"							mp3																																																																																							0
mana potion upgrade	1			100					9	"mp2,qty=9"							mp4																																																																																							0
mana potion upgrade	1			100					9	"mp3,qty=9"							mp5																																																																																							0
mana potion upgrade	1			100					5	"mp2,qty=2"	"mp1,qty=3"						mp3																																																																																							0
mana potion upgrade	1			100					5	"mp3,qty=2"	"mp2,qty=3"						mp4																																																																																							0
mana potion upgrade	1			100					5	"mp4,qty=2"	"mp3,qty=3"						mp5																																																																																							0
mana potion upgrade	1			100					7	mp2	"mp1,qty=6"						mp3																																																																																							0
mana potion upgrade	1			100					7	mp3	"mp2,qty=6"						mp4																																																																																							0
mana potion upgrade	1			100					7	mp4	"mp3,qty=6"						mp5																																																																																							0
Repair Armor: Armor + Rejuv	1			100					2	"armo,noe"	rvs						"useitem,rep,qty=511"																																																																																							0
Repair Weapon: Weapon + Rejuv	1			100					2	"weap,noe"	rvs						"useitem,rep,qty=511"																																																																																							0
Repair/Recharge Weapon: Weapon + Full Rejuv	1			100					2	"weap,noe"	rvl						"useitem,rep,rch,qty=511"																																																																																							0
Repair/Recharge Armor: Armor + Full Rejuv	1			100					2	"armo,noe"	rvl						"useitem,rep,rch,qty=511"																																																																																							0
Recharge Ring: Ring + Full Rejuv	1			100					2	ring	rvl						"useitem,rep,rch,qty=511"																																																																																							0
Recharge Amulet: Amulet + Full Rejuv	1			100					2	amul	rvl						"useitem,rep,rch,qty=511"																																																																																							0
Replenish Quiver	1			100	18	193	0		1	"misl,any"							"usetype,mod,rem"																																																																																							0
Replenish Javelin	1			100					1	"jave,noe"							"useitem,qty=511"																																																																																							0
Replenish T-Axe	1			100					1	"taxe,noe"							"useitem,qty=511"																																																																																							0
Replenish T-Knife	1			100					1	"tkni,noe"							"useitem,qty=511"																																																																																							0
L-Ame: 3 C-Ame	1			100					3	"gcv,qty=3"							gfv																																																																																							0
N-Ame: 3 L-Ame	1			100					3	"gfv,qty=3"							gsv																																																																																							0
F-Ame: 3 N-Ame	1			100					3	"gsv,qty=3"							gzv																																																																																							0
B-Ame: 3 F-Ame	1			100					3	"gzv,qty=3"							gpv																																																																																							0
P-Ame: 3 B-Ame	1			100					3	"gpv,qty=3"							gvb																																																																																							0
L-Top: 3 C-Top	1			100					3	"gcy,qty=3"							gfy																																																																																							0
N-Top: 3 L-Top	1			100					3	"gfy,qty=3"							gsy																																																																																							0
F-Top: 3 N-Top	1			100					3	"gsy,qty=3"							gly																																																																																							0
B-Top: 3 F-Top	1			100					3	"gly,qty=3"							gpy																																																																																							0
P-Top: 3 B-Top	1			100					3	"gpy,qty=3"							gyb																																																																																							0
L-Sap: 3 C-Sap	1			100					3	"gcb,qty=3"							gfb																																																																																							0
N-Sap: 3 L-Sap	1			100					3	"gfb,qty=3"							gsb																																																																																							0
F-Sap: 3 N-Sap	1			100					3	"gsb,qty=3"							glb																																																																																							0
B-Sap: 3 F-Sap	1			100					3	"glb,qty=3"							gpb																																																																																							0
P-Sap: 3 B-Sap	1			100					3	"gpb,qty=3"							gbb																																																																																							0
L-Eme: 3 C-Eme	1			100					3	"gcg,qty=3"							gfg																																																																																							0
N-Eme: 3 L-Eme	1			100					3	"gfg,qty=3"							gsg																																																																																							0
F-Eme: 3 N-Eme	1			100					3	"gsg,qty=3"							glg																																																																																							0
B-Eme: 3 F-Eme	1			100					3	"glg,qty=3"							gpg																																																																																							0
P-Eme: 3 B-Eme	1			100					3	"gpg,qty=3"							ggb																																																																																							0
L-Rub: 3 C-Rub	1			100					3	"gcr,qty=3"							gfr																																																																																							0
N-Rub: 3 L-Rub	1			100					3	"gfr,qty=3"							gsr																																																																																							0
F-Rub: 3 N-Rub	1			100					3	"gsr,qty=3"							glr																																																																																							0
B-Rub: 3 F-Rub	1			100					3	"glr,qty=3"							gpr																																																																																							0
P-Rub: 3 B-Rub	1			100					3	"gpr,qty=3"							grb																																																																																							0
L-Dia: 3 C-Dia	1			100					3	"gcw,qty=3"							gfw																																																																																							0
N-Dia: 3 L-Dia	1			100					3	"gfw,qty=3"							gsw																																																																																							0
F-Dia: 3 N-Dia	1			100					3	"gsw,qty=3"							glw																																																																																							0
B-Dia: 3 F-Dia	1			100					3	"glw,qty=3"							gpw																																																																																							0
P-Dia: 3 B-Dia	1			100					3	"gpw,qty=3"							gwb																																																																																							0
L-Sku: 3 C-Sku	1			100					3	"skc,qty=3"							skf																																																																																							0
N-Sku: 3 L-Sku	1			100					3	"skf,qty=3"							sku																																																																																							0
F-Sku: 3 N-Sku	1			100					3	"sku,qty=3"							skl																																																																																							0
B-Sku: 3 F-Sku	1			100					3	"skl,qty=3"							skz																																																																																							0
P-Sku: 3 B-Sku	1			100					3	"skz,qty=3"							skb																																																																																							0
L-Obs: 3 C-Obs	1			100					3	"gck,qty=3"							gfk																																																																																							0
N-Obs: 3 L-Obs	1			100					3	"gfk,qty=3"							gsk																																																																																							0
F-Obs: 3 N-Obs	1			100					3	"gsk,qty=3"							gzk																																																																																							0
B-Obs: 3 F-Obs	1			100					3	"gzk,qty=3"							gpk																																																																																							0
P-Obs: 3 B-Obs	1			100					3	"gpk,qty=3"							gbk																																																																																							0
B-Ame: 2 F-Ame + Wildcard	1			100					3	"gzv,qty=2"	99j						gpv																																																																																							0
B-Top: 2 F-Top + Wildcard	1			100					3	"gly,qty=2"	99j						gpy																																																																																							0
B-Sap: 2 F-Sap + Wildcard	1			100					3	"glb,qty=2"	99j						gpb																																																																																							0
B-Eme: 2 F-Eme + Wildcard	1			100					3	"glg,qty=2"	99j						gpg																																																																																							0
B-Rub: 2 F-Rub + Wildcard	1			100					3	"glr,qty=2"	99j						gpr																																																																																							0
B-Dia: 2 F-Dia + Wildcard	1			100					3	"glw,qty=2"	99j						gpw																																																																																							0
B-Sku: 2 F-Sku + Wildcard	1			100					3	"skl,qty=2"	99j						skz																																																																																							0
B-Obs: 2 F-Obs + Wildcard	1			100					3	"gzk,qty=2"	99j						gpk																																																																																							0
P-Ame: 2 B-Ame + 3 Wildcards	1			100					5	"gpv,qty=2"	"99j,qty=3"						gvb																																																																																							0
P-Top: 2 B-Top + 3 Wildcards	1			100					5	"gpy,qty=2"	"99j,qty=3"						gyb																																																																																							0
P-Sap: 2 B-Sap + 3 Wildcards	1			100					5	"gpb,qty=2"	"99j,qty=3"						gbb																																																																																							0
P-Eme: 2 B-Eme + 3 Wildcards	1			100					5	"gpg,qty=2"	"99j,qty=3"						ggb																																																																																							0
P-Rub: 2 B-Rub + 3 Wildcards	1			100					5	"gpr,qty=2"	"99j,qty=3"						grb																																																																																							0
P-Dia: 2 B-Dia + 3 Wildcards	1			100					5	"gpw,qty=2"	"99j,qty=3"						gwb																																																																																							0
P-Sku: 2 B-Sku + 3 Wildcards	1			100					5	"skz,qty=2"	"99j,qty=3"						skb																																																																																							0
P-Obs: 2 B-Obs + 3 Wildcards	1			100					5	"gpk,qty=2"	"99j,qty=3"						gbk																																																																																							0
P-Ame	1			100					3	gcv	flg	gem5					gvb																																																																																							0
P-Top	1			100					3	gcy	flg	gem5					gyb																																																																																							0
P-Sap	1			100					3	gcb	flg	gem5					gbb																																																																																							0
P-Eme	1			100					3	gcg	flg	gem5					ggb																																																																																							0
P-Rub	1			100					3	gcr	flg	gem5					grb																																																																																							0
P-Dia	1			100					3	gcw	flg	gem5					gwb																																																																																							0
P-Sku	1			100					3	skc	flg	gem5					skb																																																																																							0
P-Obs	1			100					3	gck	flg	gem5					gbk																																																																																							0
rune upgrade	1			100					2	"r01,qty=2"							r02																																																																																							0
rune upgrade	1			100					2	"r02,qty=2"							r03																																																																																							0
rune upgrade	1			100					2	"r03,qty=2"							r04																																																																																							0
rune upgrade	1			100					2	"r04,qty=2"							r05																																																																																							0
rune upgrade	1			100					2	"r05,qty=2"							r06																																																																																							0
rune upgrade	1			100					2	"r06,qty=2"							r07																																																																																							0
rune upgrade	1			100					2	"r07,qty=2"							r08																																																																																							0
rune upgrade	1			100					2	"r08,qty=2"							r09																																																																																							0
rune upgrade	1			100					2	"r09,qty=2"							r10																																																																																							0
rune upgrade	1			100					2	"r10,qty=2"							r11																																																																																							0
rune upgrade	1			100					2	"r11,qty=2"							r12																																																																																							0
rune upgrade	1			100					2	"r12,qty=2"							r13																																																																																							0
rune upgrade	1			100					2	"r13,qty=2"							r14																																																																																							0
rune upgrade	1			100					2	"r14,qty=2"							r15																																																																																							0
rune upgrade	1			100					2	"r15,qty=2"							r16																																																																																							0
rune upgrade	1			100					2	"r16,qty=2"							r17																																																																																							0
rune upgrade	1			100					2	"r17,qty=2"							r18																																																																																							0
rune upgrade	1			100					2	"r18,qty=2"							r19																																																																																							0
rune upgrade	1			100					2	"r19,qty=2"							r20																																																																																							0
rune upgrade	1			100					2	"r20,qty=2"							r21																																																																																							0
rune upgrade	1			100					2	"r21,qty=2"							r22																																																																																							0
rune upgrade	1			100					2	"r22,qty=2"							r23																																																																																							0
rune upgrade	1			100					2	"r23,qty=2"							r24																																																																																							0
rune upgrade	1			100					2	"r24,qty=2"							r25																																																																																							0
rune upgrade	1			100					2	"r25,qty=2"							r26																																																																																							0
rune upgrade	1			100					2	"r26,qty=2"							r27																																																																																							0
rune upgrade	1			100					2	"r27,qty=2"							r28																																																																																							0
rune upgrade	1			100					2	"r28,qty=2"							r29																																																																																							0
rune upgrade	1			100					2	"r29,qty=2"							r30																																																																																							0
rune upgrade	1			100					2	"r30,qty=2"							r31																																																																																							0
rune upgrade	1			100					2	"r31,qty=2"							r32																																																																																							0
rune upgrade	1			100					2	"r32,qty=2"							r33																																																																																							0
rune upgrade	1			100					2	"r33,qty=2"							r34																																																																																							0
rune upgrade	1			100					2	"r34,qty=2"							r35																																																																																							0
rune upgrade	1			100					2	"r35,qty=2"							r36																																																																																							0
rune upgrade	1			100					2	"r36,qty=2"							r37																																																																																							0
rune upgrade	1			100					2	"r37,qty=2"							r38																																																																																							0
rune upgrade	1			100					2	"r38,qty=2"							r39																																																																																							0
rune upgrade	1			100					2	"r39,qty=2"							r40																																																																																							0
rune upgrade	1			100					2	"r40,qty=2"							r41																																																																																							0
rune upgrade	1			100					2	"r41,qty=2"							r42																																																																																							0
rune upgrade	1			100					2	"r42,qty=2"							r43																																																																																							0
rune upgrade	1			100					2	"r43,qty=2"							r44																																																																																							0
rune upgrade	1			100					2	"r44,qty=2"							r45																																																																																							0
rune upgrade	1			100					2	"r45,qty=2"							r46																																																																																							0
rune upgrade	1			100					2	r46	rvl						r50																																																																																							0
rune upgrade	1			100					2	"r51,qty=2"							r52																																																																																							0
rune upgrade	1			100					2	"r52,qty=2"							r53																																																																																							0
rune upgrade	1			100					2	"r53,qty=2"							r54																																																																																							0
rune upgrade	1			100					2	"r54,qty=2"							r55																																																																																							0
rune upgrade	1			100					2	"r55,qty=2"							r56																																																																																							0
rune upgrade	1			100					2	"r56,qty=2"							r57																																																																																							0
rune upgrade	1			100					2	"r57,qty=2"							r58																																																																																							0
rune upgrade	1			100					2	"r58,qty=2"							r59																																																																																							0
rune upgrade	1			100					2	"r59,qty=2"							r60																																																																																							0
rune upgrade	1			100					2	"r60,qty=2"							r61																																																																																							0
rune upgrade	1			100					2	"r61,qty=2"							r62																																																																																							0
rune upgrade	1			100					2	"r62,qty=2"							r63																																																																																							0
rune upgrade	1			100					2	"r63,qty=2"							r64																																																																																							0
rune upgrade	1			100					2	"r64,qty=2"							r65																																																																																							0
rune upgrade	1			100					2	"r65,qty=2"							r66																																																																																							0
rune upgrade	1			100					2	"r66,qty=2"							r67																																																																																							0
rune upgrade	1			100					2	"r67,qty=2"							r68																																																																																							0
rune upgrade	1			100					2	"r68,qty=2"							r69																																																																																							0
rune upgrade	1			100					2	"r69,qty=2"							r70																																																																																							0
rune upgrade	1			100					2	"r70,qty=2"							r71																																																																																							0
rune upgrade	1			100					2	"r71,qty=2"							r72																																																																																							0
rune upgrade	1			100					2	"r72,qty=2"							r73																																																																																							0
rune upgrade	1			100					2	"r73,qty=2"							r74																																																																																							0
rune upgrade	1			100					2	"r74,qty=2"							r75																																																																																							0
rune upgrade	1			100					2	"r75,qty=2"							r76																																																																																							0
rune upgrade	1			100					2	"r76,qty=2"							r77																																																																																							0
rune upgrade	1			100					2	"r77,qty=2"							r78																																																																																							0
rune upgrade	1			100					2	"r78,qty=2"							r79																																																																																							0
rune upgrade	1			100					2	"r79,qty=2"							r80																																																																																							0
rune upgrade	1			100					2	"r80,qty=2"							r81																																																																																							0
rune upgrade	1			100					2	"r81,qty=2"							r82																																																																																							0
rune upgrade	1			100					2	"r82,qty=2"							r83																																																																																							0
rune downgrade	1			100					2	r02	tsc						r01																													tsc																																																										0
rune downgrade	1			100					2	r03	tsc						r02																													tsc																																																										0
rune downgrade	1			100					2	r04	tsc						r03																													tsc																																																										0
rune downgrade	1			100					2	r05	tsc						r04																													tsc																																																										0
rune downgrade	1			100					2	r06	tsc						r05																													tsc																																																										0
rune downgrade	1			100					2	r07	tsc						r06																													tsc																																																										0
rune downgrade	1			100					2	r08	tsc						r07																													tsc																																																										0
rune downgrade	1			100					2	r09	tsc						r08																													tsc																																																										0
rune downgrade	1			100					2	r10	tsc						r09																													tsc																																																										0
rune downgrade	1			100					2	r11	tsc						r10																													tsc																																																										0
rune downgrade	1			100					2	r12	tsc						r11																													tsc																																																										0
rune downgrade	1			100					2	r13	tsc						r12																													tsc																																																										0
rune downgrade	1			100					2	r14	tsc						r13																													tsc																																																										0
rune downgrade	1			100					2	r15	tsc						r14																													tsc																																																										0
rune downgrade	1			100					2	r16	tsc						r15																													tsc																																																										0
rune downgrade	1			100					2	r17	tsc						r16																													tsc																																																										0
rune downgrade	1			100					2	r18	tsc						r17																													tsc																																																										0
rune downgrade	1			100					2	r19	tsc						r18																													tsc																																																										0
rune downgrade	1			100					2	r20	tsc						r19																													tsc																																																										0
rune downgrade	1			100					2	r21	tsc						r20																													tsc																																																										0
rune downgrade	1			100					2	r22	tsc						r21																													tsc																																																										0
rune downgrade	1			100					2	r23	tsc						r22																													tsc																																																										0
rune downgrade	1			100					2	r24	tsc						r23																													tsc																																																										0
rune downgrade	1			100					2	r25	tsc						r24																													tsc																																																										0
rune downgrade	1			100					2	r26	tsc						r25																													tsc																																																										0
rune downgrade	1			100					2	r27	tsc						r26																													tsc																																																										0
rune downgrade	1			100					2	r28	tsc						r27																													tsc																																																										0
rune downgrade	1			100					2	r29	tsc						r28																													tsc																																																										0
rune downgrade	1			100					2	r30	tsc						r29																													tsc																																																										0
rune downgrade	1			100					2	r31	tsc						r30																													tsc																																																										0
rune downgrade	1			100					2	r32	tsc						r31																													tsc																																																										0
rune downgrade	1			100					2	r33	tsc						r32																													tsc																																																										0
rune downgrade	1			100					2	r34	tsc						r33																													tsc																																																										0
rune downgrade	1			100					2	r35	tsc						r34																													tsc																																																										0
rune downgrade	1			100					2	r36	tsc						r35																													tsc																																																										0
rune downgrade	1			100					2	r37	tsc						r36																													tsc																																																										0
rune downgrade	1			100					2	r38	tsc						r37																													tsc																																																										0
rune downgrade	1			100					2	r39	tsc						r38																													tsc																																																										0
rune downgrade	1			100					2	r40	tsc						r39																													tsc																																																										0
rune downgrade	1			100					2	r41	tsc						r40																													tsc																																																										0
rune downgrade	1			100					2	r42	tsc						r41																													tsc																																																										0
rune downgrade	1			100					2	r43	tsc						r42																													tsc																																																										0
rune downgrade	1			100					2	r44	tsc						r43																													tsc																																																										0
rune downgrade	1			100					2	r45	tsc						r44																													tsc																																																										0
rune downgrade	1			100					2	r46	tsc						r45																													tsc																																																										0
rune downgrade	1			100					2	r50	tsc						r46																													tsc																																																										0
rune downgrade	1			100					2	r52	tsc						r51																													tsc																																																										0
rune downgrade	1			100					2	r53	tsc						r52																													tsc																																																										0
rune downgrade	1			100					2	r54	tsc						r53																													tsc																																																										0
rune downgrade	1			100					2	r55	tsc						r54																													tsc																																																										0
rune downgrade	1			100					2	r56	tsc						r55																													tsc																																																										0
rune downgrade	1			100					2	r57	tsc						r56																													tsc																																																										0
rune downgrade	1			100					2	r58	tsc						r57																													tsc																																																										0
rune downgrade	1			100					2	r59	tsc						r58																													tsc																																																										0
rune downgrade	1			100					2	r60	tsc						r59																													tsc																																																										0
rune downgrade	1			100					2	r61	tsc						r60																													tsc																																																										0
rune downgrade	1			100					2	r62	tsc						r61																													tsc																																																										0
rune downgrade	1			100					2	r63	tsc						r62																													tsc																																																										0
rune downgrade	1			100					2	r64	tsc						r63																													tsc																																																										0
rune downgrade	1			100					2	r65	tsc						r64																													tsc																																																										0
rune downgrade	1			100					2	r66	tsc						r65																													tsc																																																										0
rune downgrade	1			100					2	r67	tsc						r66																													tsc																																																										0
rune downgrade	1			100					2	r68	tsc						r67																													tsc																																																										0
rune downgrade	1			100					2	r69	tsc						r68																													tsc																																																										0
rune downgrade	1			100					2	r70	tsc						r69																													tsc																																																										0
rune downgrade	1			100					2	r71	tsc						r70																													tsc																																																										0
rune downgrade	1			100					2	r72	tsc						r71																													tsc																																																										0
rune downgrade	1			100					2	r73	tsc						r72																													tsc																																																										0
rune downgrade	1			100					2	r74	tsc						r73																													tsc																																																										0
rune downgrade	1			100					2	r75	tsc						r74																													tsc																																																										0
rune downgrade	1			100					2	r76	tsc						r75																													tsc																																																										0
rune downgrade	1			100					2	r77	tsc						r76																													tsc																																																										0
rune downgrade	1			100					2	r78	tsc						r77																													tsc																																																										0
rune downgrade	1			100					2	r79	tsc						r78																													tsc																																																										0
rune downgrade	1			100					2	r80	tsc						r79																													tsc																																																										0
rune downgrade	1			100					2	r81	tsc						r80																													tsc																																																										0
