main type	socket type	eol
shie	radg	0
tors	radg	0
bowq	radg	0
xboq	radg	0
ring	radg	0
amul	radg	0
char	radg	0
boot	radg	0
glov	radg	0
belt	radg	0
scep	radg	0
wand	radg	0
staf	radg	0
bow	radg	0
axe	radg	0
club	radg	0
swor	radg	0
hamm	radg	0
knif	radg	0
spea	radg	0
pole	radg	0
xbow	radg	0
mace	radg	0
helm	radg	0
rod	radg	0
orb	radg	0
head	radg	0
ashd	radg	0
phlm	radg	0
pelt	radg	0
cloa	radg	0
circ	radg	0
abow	radg	0
aspe	radg	0
ajav	radg	0
arrm	radg	0
boqm	radg	0
zrin	radg	0
srin	radg	0
nrin	radg	0
prin	radg	0
brin	radg	0
drin	radg	0
arin	radg	0
zamu	radg	0
samu	radg	0
namu	radg	0
pamu	radg	0
bamu	radg	0
damu	radg	0
aamu	radg	0
pbow	radg	0
mana	radg	0
ndgr	radg	0
npol	radg	0
bedg	radg	0
bjav	radg	0
dclb	radg	0
asns	radg	0
asnx	radg	0
2hsw	radg	0
qcha	radg	0
ocha	radg	0
xcha	radg	0
claw	radg	0
knuc	radg	0
robe	radg	0
scrn	radg	0
glv1	radg	0
boo1	radg	0
bel1	radg	0
hel1	radg	0
1swo	radg	0
1axe	radg	0
1mac	radg	0
1h2h	radg	0
1pol	radg	0
1pol	radg	0
1bow	radg	0
1xbo	radg	0
1jav	radg	0
1tax	radg	0
1swo	radg	0
1sta	radg	0
1shi	radg	0
1tor	radg	0
xchs	radg	0
shie	helg	0
tors	helg	0
bowq	helg	0
xboq	helg	0
ring	helg	0
amul	helg	0
char	helg	0
boot	helg	0
glov	helg	0
belt	helg	0
scep	helg	0
wand	helg	0
staf	helg	0
bow	helg	0
axe	helg	0
club	helg	0
swor	helg	0
hamm	helg	0
knif	helg	0
spea	helg	0
pole	helg	0
xbow	helg	0
mace	helg	0
helm	helg	0
rod	helg	0
orb	helg	0
head	helg	0
ashd	helg	0
phlm	helg	0
pelt	helg	0
cloa	helg	0
circ	helg	0
abow	helg	0
aspe	helg	0
ajav	helg	0
arrm	helg	0
boqm	helg	0
zrin	helg	0
srin	helg	0
nrin	helg	0
prin	helg	0
brin	helg	0
drin	helg	0
arin	helg	0
zamu	helg	0
samu	helg	0
namu	helg	0
pamu	helg	0
bamu	helg	0
damu	helg	0
aamu	helg	0
pbow	helg	0
mana	helg	0
ndgr	helg	0
npol	helg	0
bedg	helg	0
bjav	helg	0
dclb	helg	0
asns	helg	0
asnx	helg	0
2hsw	helg	0
qcha	helg	0
ocha	helg	0
xcha	helg	0
claw	helg	0
knuc	helg	0
robe	helg	0
scrn	helg	0
glv1	helg	0
boo1	helg	0
bel1	helg	0
cbla	helg	0
1swo	helg	0
1axe	helg	0
1mac	helg	0
1h2h	helg	0
1pol	helg	0
1pol	helg	0
1bow	helg	0
1xbo	helg	0
1jav	helg	0
1tax	helg	0
1swo	helg	0
1sta	helg	0
1shi	helg	0
1tor	helg	0
xchs	helg	0
