skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Attack	0		attack	1	1																																																																																						1	1																		0		both		weap			tpot							A1	A1	A1				1		1	1								1											1									1					1		1				0	8	0	0	1					1			1																										1								8	128																																				0
Kick	1		kick	2	2																																																																																						0	0																		0		h2h	4											KK	KK	xx						1	1							1												1																				0	8	0	0									1																										1							1	8																																					0
Throw	2		throw	65	3																																																																																						2	2																		0		rng		thro										TH	TH	xx				1																						1														1		2				0	8	0	0	1								1																										1								8	128																																				0
Unsummon	3		unsummon	3	4																																																																																						3	0																		0		rng												SC	SC	xx						1						1														1									1											0	8	0	0	1	1							1																										1								8																																					0
Left Hand Throw	4		left hand throw	65	5																																																																																						2	2																		0		rng	1	thro										S4	S4	xx			1	1																						1														1		3				0	8	0	0	1								1																										1								8																																					0
Left Hand Swing	5		left hand swing	1	1																																																																																						4	1																		0		both	1	weap			tpot							S3	S3	S3			1	1		1	1																			1														1		4				0	8	0	0	1								1																										1								8																																					0
Magic Arrow	6	ama	magic arrow											magicarrow																																																																																		magicarrow													1	0	1	rng		miss										A1	A1	A1				1																						1	30													1						0	5	12	-1	1																																7	damage synergy	1								0	128														mag	7	7	14	28	56	56	14	7	14	28	56	56	((100+(skill('Fire Arrow'.blvl)+skill('Immolation Arrow'.blvl)+skill('Freezing Arrow'.blvl)+skill('Exploding Arrow'.blvl)+skill('Cold Arrow'.blvl)+skill('Ice Arrow'.blvl))*(par8*(1+stat('magic_multi'.accr))))*(100+stat('passive_mag2_mastery'.accr))/100)*256									100
Fire Arrow	7	ama	fire arrow	4										poisonarrow																																																															amazon_cast_poison		1												11					poisonarrow													1	3	1	rng		miss										A1	A1	A1				1																						12	25													1						1	6	24	1	1																																5	damage synergy	1								2	128														pois	30	30	60	90	120	120	60	30	60	90	120	120	(skill('Magic Arrow'.blvl)+skill('Cold Arrow'.blvl)+skill('Freezing Arrow'.blvl))*(par8*(1+stat('poison_multi'.accr)))	100	5	5	5					100
Inner Sight	8	ama	inner sight		6																34179		innersight	ln34	par7	skill_armor_percent	-dm12-(skill('Slow Missiles'.blvl)+skill('Penetrate'.blvl))*par8	damageresist	-dm56-(skill('Critical Strike'.blvl)+skill('Slow Missiles'.blvl))*2/3																																																amazon_eyeofzeus											cast_innersight																					1	3		none												SC	SC	SC					4												1						amazon_eyeofzeus	cast_innersight		6	30								1											1	7	10	0	1																		4	reduce monster ac% min	50	reduce monster ac% max	600	duration	75	duration per level	0	reduce enemy dr min	35	reduce enemy dr max	24	radius of effect	1	ac / dr synergy	1								8																																					100
Critical Strike	9	ama	critical strike																																											criticalstrike		item_deadlystrike	dm12	attackrate	blvl																																																										1	4		rng		spea	miss											xx				1																						1	30													1						0	8	0	0	1						1												5	min % to do double damage	80	max % to do double damage													1								8																																					100
Jab	10	ama	jab	5	7																																																																									amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																	1	3		h2h		spea	knif									SQ	A1	xx	1		1	1		1	1								1											1	30													1						1	8	3	0											ln34+(skill('Impale'.blvl)+skill('Fend'.blvl)+skill('Power Strike'.blvl)+skill('Lightning Strike'.blvl)+skill('Charged Strike'.blvl))*par8	dmg%											0	Percent damage base	30	Percent damage per level							18	damage synergy	1	10	10						8	128																																				100
