description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Tier 1 Map Cellar of Pain	1		2	100					1	z01							Red Portal,qty=147																																																																																							0
Tier 1 Map Chasm of Horror	1		2	100					1	z02							Red Portal,qty=139																																																																																							0
Tier 1 Map Crypt of Damnation	1		2	100					1	z03							Red Portal,qty=142																																																																																							0
Tier 1 Map Necropolis	1		2	100					1	z04							Red Portal,qty=144																																																																																							0
Tier 2 Map Ancient Tomb	1		2	100					1	z05							Red Portal,qty=150																																																																																							0
Tier 2 Map Chaos Rift	1		2	100					1	z06							Red Portal,qty=155																																																																																							0
Tier 2 Map Infested Lair	1		2	100					1	z07							Red Portal,qty=152																																																																																							0
Tier 2 Map Labyrinth of Suffering	1		2	100					1	z08							Red Portal,qty=160																																																																																							0
Tier 3 Map Decaying Depths	1		2	100					1	z09							Red Portal,qty=176																																																																																							0
Tier 3 Map Endless Abyss	1		2	100					1	z10							Red Portal,qty=165																																																																																							0
Tier 3 Map Frozen Wastes	1		2	100					1	z11							Red Portal,qty=178																																																																																							0
Tier 3 Map Twisted Maze	1		2	100					1	z12							Red Portal,qty=163																																																																																							0
Tier 4 Map Cursed Ossuary	1		2	100					1	z13							Red Portal,qty=191																																																																																							0
Tier 4 Map Infernal Nexus	1		2	100					1	z14							Red Portal,qty=185																																																																																							0
Tier 4 Map Reliquary of Souls	1		2	100					1	z15							Red Portal,qty=187																																																																																							0
Tier 4 Map Shrine of Destruction	1		2	100					1	z16							Red Portal,qty=182																																																																																							0
Tier 5 Map Eye of the Storm	1		2	100					1	z17							Red Portal,qty=192																																																																																							0
Tier 5 Map Icecrown Citadel	1		2	100					1	z18							Red Portal,qty=200																																																																																							0
Tier 1 -> 2 Cellar of Pain to Ancient Tomb	1			100					3	z01,qty=3							z05	100																																																																																						0
Tier 1 -> 2 Chasm of Horror to Chaos Rift	1			100					3	z02,qty=3							z06	100																																																																																						0
Tier 1 -> 2 Crypt of Damnation to Infested Lair	1			100					3	z03,qty=3							z07	100																																																																																						0
Tier 1 -> 2 Necropolis to Labyrinth of Suffering	1			100					3	z04,qty=3							z08	100																																																																																						0
Tier 2 -> 3 Ancient Tomb to Decaying Depths	1			100					3	z05,qty=3							z09	100																																																																																						0
Tier 2 -> 3 Chaos Rift to Endless Abyss	1			100					3	z06,qty=3							z10	100																																																																																						0
Tier 2 -> 3 Infested Lair to Frozen Wastes	1			100					3	z07,qty=3							z11	100																																																																																						0
Tier 2 -> 3 Labyrinth of Suffering to Twisted Maze	1			100					3	z08,qty=3							z12	100																																																																																						0
Tier 3 -> 4 Decaying Depths to Cursed Ossuary	1			100					3	z09,qty=3							z13	100																																																																																						0
Tier 3 -> 4 Endless Abyss to Infernal Nexus	1			100					3	z10,qty=3							z14	100																																																																																						0
Tier 3 -> 4 Frozen Wastes to Reliquary of Souls	1			100					3	z11,qty=3							z15	100																																																																																						0
Tier 3 -> 4 Twisted Maze to Shrine of Destruction	1			100					3	z12,qty=3							z16	100																																																																																						0
Tier 4 -> 5 Cursed Ossuary to Eye of the Storm	1			100					3	z13,qty=3							z17	100																																																																																						0
Tier 4 -> 5 Infernal Nexus to Eye of the Storm	1			100					3	z14,qty=3							z17	100																																																																																						0
Tier 4 -> 5 Reliquary of Souls to Icecrown Citadel	1			100					3	z15,qty=3							z18	100																																																																																						0
Tier 4 -> 5 Shrine of Destruction to Icecrown Citadel	1			100					3	z16,qty=3							z18	100																																																																																						0
