name	letter	transform	code	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Chipped Amethyst		18	gcv	att		30	30	swing1		5	5	thorns		5	5	str		5	5	red-dmg		2	2	red-mag		2	2	ac		20	20	block		1	1	block2		5	5
Flawed Amethyst		18	gfv	att		60	60	swing1		10	10	thorns		10	10	str		10	10	red-dmg		4	4	red-mag		4	4	ac		40	40	block		1	1	block2		8	8
Amethyst		18	gsv	att		90	90	swing1		15	15	thorns		20	20	str		15	15	red-dmg		6	6	red-mag		6	6	ac		60	60	block		2	2	block2		11	11
Flawless Amethyst		17	gzv	att		120	120	swing1		20	20	thorns		50	50	str		20	20	red-dmg		8	8	red-mag		8	8	ac		80	80	block		2	2	block2		14	14
Blemished Amethyst		17	gpv	att		150	150	swing2		25	25	thorns		100	100	str		25	25	red-dmg		10	10	red-mag		10	10	ac		100	100	block		3	3	block2		17	17
Perfect Amethyst		17	gvb	att		180	180	swing2		30	30	thorns		200	200	str		30	30	red-dmg		12	12	red-mag		12	12	ac		120	120	block		3	3	block2		20	20
Chipped Saphire		5	gcb	dmg-cold	20	5	10	mana-kill		2	2	deadly		4	4	mana		10	10	cast1		4	4	mana%		1	1	res-cold		10	10	abs-cold		1	1	res-cold-max		1	1
Flawed Saphire		5	gfb	dmg-cold	40	10	20	mana-kill		4	4	deadly		6	6	mana		20	20	cast1		6	6	mana%		2	2	res-cold		20	20	abs-cold		1	1	res-cold-max		1	1
Saphire		5	gsb	dmg-cold	60	15	30	mana-kill		6	6	deadly		8	8	mana		30	30	cast1		8	8	mana%		3	3	res-cold		30	30	abs-cold		2	2	res-cold-max		2	2
Flwless Saphire		6	glb	dmg-cold	80	25	50	mana-kill		8	8	deadly		10	10	mana		40	40	cast1		10	10	mana%		4	4	res-cold		40	40	abs-cold		2	2	res-cold-max		2	2
Blemished Saphire		6	gpb	dmg-cold	100	50	100	mana-kill		10	10	deadly		12	12	mana		50	50	cast2		12	12	mana%		5	5	res-cold		50	50	abs-cold		3	3	res-cold-max		3	3
Perfect Saphire		6	gbb	dmg-cold	120	100	200	mana-kill		12	12	deadly		15	15	mana		60	60	cast2		15	15	mana%		6	6	res-cold		60	60	abs-cold		3	3	res-cold-max		3	3
Chipped Emerald		11	gcg	dmg-pois	50	77	102	crush		2	2					dex		5	5	att%		5	5	move1		4	4	res-pois		10	10	res-pois-len		15	15	res-pois-max		1	1
Flawed Emerald		11	gfg	dmg-pois	50	102	204	crush		4	4					dex		10	10	att%		8	8	move1		6	6	res-pois		20	20	res-pois-len		20	20	res-pois-max		1	1
Emerald		11	gsg	dmg-pois	50	204	256	crush		6	6					dex		15	15	att%		11	11	move1		8	8	res-pois		30	30	res-pois-len		25	25	res-pois-max		2	2
Flawless Emerald		12	glg	dmg-pois	50	256	512	crush		8	8					dex		20	20	att%		14	14	move1		10	10	res-pois		40	40	res-pois-len		30	30	res-pois-max		2	2
Blemished Emerald		12	gpg	dmg-pois	50	512	1024	crush		10	10					dex		25	25	att%		17	17	move1		12	12	res-pois		50	50	res-pois-len		40	40	res-pois-max		3	3
Perfect Emerald		12	ggb	dmg-pois	50	1024	2048	crush		12	12					dex		30	30	att%		20	20	move1		15	15	res-pois		60	60	res-pois-len		50	50	res-pois-max		3	3
Chipped Ruby		8	gcr	dmg-fire		10	15	heal-kill		2	2	dmg-demon		15	15	hp		10	10	deadly		4	4	balance1		4	4	res-fire		10	10	abs-fire		1	1	res-fire-max		1	1
Flawed Ruby		8	gfr	dmg-fire		15	25	heal-kill		4	4	dmg-demon		30	30	hp		20	20	deadly		6	6	balance1		6	6	res-fire		20	20	abs-fire		1	1	res-fire-max		1	1
Ruby		8	gsr	dmg-fire		20	40	heal-kill		6	6	dmg-demon		45	45	hp		30	30	deadly		8	8	balance1		8	8	res-fire		30	30	abs-fire		2	2	res-fire-max		2	2
Flawless Ruby		9	glr	dmg-fire		30	60	heal-kill		8	8	dmg-demon		60	60	hp		40	40	deadly		10	10	balance1		10	10	res-fire		40	40	abs-fire		2	2	res-fire-max		2	2
Blemished Ruby		9	gpr	dmg-fire		60	120	heal-kill		10	10	dmg-demon		80	80	hp		50	50	deadly		12	12	balance2		12	12	res-fire		50	50	abs-fire		3	3	res-fire-max		3	3
Perfect Ruby		9	grb	dmg-fire		120	225	heal-kill		12	12	dmg-demon		100	100	hp		60	60	deadly		15	15	balance1		15	15	res-fire		60	60	abs-fire		3	3	res-fire-max		3	3
Chipped Diamond		1	gcw	dmg-norm		1	2	dmg-mag		4	8	dmg-undead		15	15	ac		20	20	crush		4	4	reduce-ac		5	5	res-all		5	5	dmg-to-mana		15	15	red-dmg		2	2
