Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Normal	0	0	271	1	1	10	150	merc01	merc41	100	65	132	17	90	20	40	12	50	18	50	12	3	7	6	20	8	20	8	20	8	20	8	farw	110	Exploding Arrow	4	70	0	3	14	Inner Sight	4	10	0	3	10	Magic Arrow	4	55	0	3	10	Slow Missiles	4	5	0	3	6													5	15	2	50000	ama
Rogue Scout	Fire - Normal	0	0	271	1	1	40	150	merc01	merc41	100	65	636	34	690	22	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	farw	60	Immolation Arrow	4	80	0	16	14	Inner Sight	4	10	0	12	10	Magic Arrow	4	45	0	12	10	Slow Missiles	4	5	0	8	6													5	15	2	50000	ama
Rogue Scout	Fire - Normal	0	0	271	1	1	85	150	merc01	merc41	100	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Immolation Arrow	4	90	0	35	14	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6													5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	10	150	merc01	merc41	150	65	132	17	90	20	40	12	50	18	50	12	3	7	6	20	8	20	8	20	8	20	8	carw	110	Cold Arrow	4	70	0	3	8	Inner Sight	4	10	0	3	10	Magic Arrow	4	55	0	3	10	Slow Missiles	4	5	0	3	6													5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	40	150	merc01	merc41	150	65	636	34	690	22	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	carw	60	Freezing Arrow	4	80	0	10	8	Inner Sight	4	10	0	12	10	Magic Arrow	4	45	0	12	10	Slow Missiles	4	5	0	8	6													5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	85	150	merc01	merc41	150	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Freezing Arrow	4	90	0	21	8	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6													5	15	2	50000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	40	150	merc01	merc41	6000	65	636	34	690	22	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	farw	60	Exploding Arrow	4	80	0	16	14	Strafe	4	50	0	15	10	Inner Sight	4	10	0	12	10	Magic Arrow	4	45	0	12	10	Slow Missiles	4	5	0	8	6							5	15	2	50000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	85	150	merc01	merc41	6000	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Immolation Arrow	4	90	0	35	14	Multiple Shot	4	50	0	15	10	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6							5	15	2	50000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	40	150	merc01	merc41	7500	65	636	34	690	22	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	carw	60	Cold Arrow	4	80	0	10	8	Strafe	4	50	0	15	10	Inner Sight	4	10	0	12	10	Magic Arrow	4	45	0	12	10	Slow Missiles	4	5	0	8	6							5	15	2	50000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	85	150	merc01	merc41	7500	65	2148	50	1680	24	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Freezing Arrow	4	90	0	21	8	Ice Arrow	4	50	0	15	10	Inner Sight	4	10	0	25	10	Magic Arrow	4	35	0	25	10	Slow Missiles	4	5	0	16	6							5	15	2	50000	ama
