Stat	*ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	*eol
strength	0	1		16			1	0	10			1	1		125	55		10	150	10	150																67	19		ModStr1a	ModStr1a		1	19		Moditem2allattrib	Moditem2allattrib		6		0
energy	1			16			1	0	10			1	1		100	55		10	150	10	150			8			maxmana										61	19		ModStr1d	ModStr1d		1	19		Moditem2allattrib	Moditem2allattrib				0
dexterity	2	1		16			1	0	10			1	1		125	55		10	150	10	150																65	19		ModStr1b	ModStr1b		1	19		Moditem2allattrib	Moditem2allattrib				0
vitality	3			16			1	0	10			1	1		100	55		10	150	10	150			9			maxhp	maxstamina									63	19		ModStr1c	ModStr1c		1	19		Moditem2allattrib	Moditem2allattrib				0
statpts	4			9	`		1	0	10																																										0
newskills	5			9			1	0	8																																										0
hitpoints	6			32			1	0	21								8													1	maxhp																				0
maxhp	7			32			1	0	21		1	1	1		56	20	8	8	32	11	150																59	19		ModStr1u	ModStr1u										0
mana	8			32			1	0	21								8						1							1	maxmana																				0
maxmana	9			32			1	0	21		1	1	0		81	20	8	8	32	11	150																55	19		ModStr1e	ModStr1e										0
stamina	10			32			1	0	21								8						1							1	maxstamina																				0
maxstamina	11			32			1	0	21		1	1	0		75	20	8	8	32	8	32																51	19		ModStr5d	ModStr5d										0
level	12			9			1	0	7																																										0
experience	13			32			1	0	32																																										0
gold	14			32			1	0	25																																										0
goldbank	15			32			1	0	25																																										0
item_armor_percent	16		1	11											47	20		9	0	9	0			13			armorclass	item_armorpercent_perlevel	item_armor_perlevel								74	19		Modstr2v	Modstr2v										0
item_maxdamage_percent	17		1	12											45	20		9	11	9	11			13			maxdamage	secondary_maxdamage	item_throw_maxdamage			1					129	19		ModStr2j	ModStr2j										0
item_mindamage_percent	18		1	12											45	20		9	11	9	11			13			mindamage	secondary_mindamage	item_throw_mindamage			1					130	19		ModStr2k	ModStr2k										0
tohit	19		1	16											15	10		10		10												1					115	19		ModStr1h	ModStr1h										0
toblock	20		1	10											89	204		8	50	8	50																134	19		ModStr3g	ModStr3g										0
mindamage	21		1	16											122	25		8	0	8	0											1					127	19		ModStr1g	ModStr1g										0
maxdamage	22		1	16											94	16		9	0	9	0											1					126	19		ModStr1f	ModStr1f										0
secondary_mindamage	23		1	16											97	15		8	0	8	0											1					124	19		ModStr1g	ModStr1g										0
secondary_maxdamage	24		1	16											85	11		9	0	9	0											1					123	19		ModStr1f	ModStr1f										0
damagepercent	25		1	12											45	40		8	0	8	0											1																			0
manarecovery	26																	8	0	8	0																														0
manarecoverybonus	27		1	16														10	750	10	750																52	19		ModStr4g	ModStr4g									2	0
staminarecoverybonus	28		1	16														8	0	8	0																48	19		ModStr3v	ModStr3v									2	0
lastexp	29			32																																															0
nextexp	30			32																																															0
armorclass	31		1	16											17	10		10	10	12	1000																71	19		ModStr1i	ModStr1i										0
armorclass_vs_missile	32		1	16											11	5		8	0	10	0																69	19		ModStr6a	ModStr6a										0
armorclass_vs_hth	33		1	16											13	7		8	0	10	0																70	19		ModStr6b	ModStr6b										0
normal_damage_reduction	34		1	16											188	200		6	0	6	0																22	19		ModStr2u	ModStr2u									2	0
magic_damage_reduction	35		1	16											397	340		6	0	6	0																21	19		ModStr2t	ModStr2t									2	0
damageresist	36		1	9											152	68		8	0	9	200																22	19		ModStr2uPercent	ModStr2uPercent									2	0
magicresist	37		1	9											164	68		8	0	9	200																41	19		ModStr1m	ModStr1m									2	0
maxmagicresist	38		1	9											1091	409		5	0	5	10																46	19		ModStr5x	ModStr5x									2	0
fireresist	39		1	9											43	20		8	0	9	200																36	19		ModStr1j	ModStr1j		2	19		strModAllResistances	strModAllResistances				0
maxfireresist	40		1	9											584	256		5	0	5	0																42	19		ModStr5u	ModStr5u										0
lightresist	41		1	9											43	20		8	0	9	200																38	19		ModStr1l	ModStr1l		2	19		strModAllResistances	strModAllResistances				0
maxlightresist	42		1	9											584	256		5	0	5	0																43	19		ModStr5w	ModStr5w										0
