Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Health	100	1	1	7	18	5				18	1	red-dmg		1	2									1	lred	amul	ring	armo	staf	wand	orb	circ				0	0	0
of Protection	100	1	1	18	26	18				18	1	red-dmg		3	5									1	lred	amul	ring	armo	staf	wand	orb	circ				0	0	0
of Absorption	100	1	1	26	35	24				18	1	red-dmg		6	10									1	dred	amul	ring	armo	staf	wand	orb	circ				0	0	0
of Life	100	1	1	35	45	33				8	1	red-dmg		11	15									1	dred	amul	ring	armo	staf	wand	orb	circ				0	0	0
of Anima	100	1	1	45		43				4	1	red-dmg		16	20									1	cred	tors	shld									0	0	0
of Life Everlasting	100	1	1	75		70				1	1	red-dmg		21	30									1	cred	tors	shld									0	0	0
of Warding	100	1	1	7	18	5				18	2	red-mag		1	2									1	lblu	ring	armo									0	0	0
of the Sentinel	100	1	1	18	26	18				18	2	red-mag		3	5									1	dblu	ring	armo									0	0	0
of Guarding	100	1	1	26	35	24				18	2	red-mag		6	10									1	dblu	ring	armo									0	0	0
of Negation	100	1	1	35	45	33				8	2	red-mag		11	15									1	cblu	amul	circ	tors	shld							0	0	0
of Nullifying	100	1	1	45		43				4	2	red-mag		16	20									1	cblu	amul	circ	tors	shld							0	0	0
of the Anti Mage	100	1	1	75		70				1	2	red-mag		21	30									1	cblu	amul	circ	tors	shld							0	0	0
of Avoidance	100	1	1	9	15	6				18	3	ac-miss		50	100									1	whit	helm	tors	shld	boot	staf	wand	orb				0	0	0
of Ducking	100	1	1	9	15	6				18	3	ac-hth		50	100									1	dgry	helm	tors	shld	boot	staf	wand	orb				0	0	0
of Evasion	100	1	1	15	35	16				18	3	ac-miss		100	200									1	lgry	helm	tors	shld	boot	staf	wand	orb				0	0	0
of Elusion	100	1	1	15	35	16				18	3	ac-hth		100	200									1	dgry	helm	tors	shld	boot	staf	wand	orb				0	0	0
of Piercing	100	1	1	80		75				2	4	ignore-ac		1	1									1	blac	weap							staf	wand		0	0	0
of Impaling	100	1	1	85		78				1	4	reduce-ac		100	100									1	blac	weap							staf	wand		0	0	0
of Puncturing	100	1	1	15	30	8				20	5	dmg-ac		-25	-50									1	lgry	weap							staf	wand		0	0	0
of Bashing	100	1	1	30	45	16				20	5	dmg-ac		-50	-75									1	lgry	weap							staf	wand		0	0	0
of Bashing	100	1	1	45		24				20	5	dmg-ac		-100	-150									1	lgry	weap							staf	wand		0	0	0
of Dummy	100	1	1	1		1				1	5	dmg-ac		0	0											xcha	ycha									0	0	0
of Thorns	100	1	1	14	21	10				10	6	thorns		50	100									1	oran	helm	tors	shld	belt							0	0	0
of Spikes	100	1	1	21	34	20				10	6	thorns		150	300									1	oran	helm	tors	shld	belt							0	0	0
of Razors	100	1	1	34	47	30				10	6	thorns		400	600									1	oran	helm	tors	shld	belt							0	0	0
of Swords	100	1	1	47		45				5	6	thorns		800	1500									1	oran	helm	tors	shld	belt							0	0	0
of Readiness	100	1	1	5	25	3				20	7	swing1		10	10									1	dyel	weap	glov						staf	wand		0	0	0
of Alacrity	100	1	1	25		17				20	7	swing2		20	20									1	dyel	weap	glov						staf	wand		0	0	0
of Swiftness	100	1	1	34		26				10	7	swing2		30	30									1	dyel	weap							staf	wand		0	0	0
of Quickness	100	1	1	46		38				10	7	swing3		40	40									1	dyel	mele							staf	wand		0	0	0
of Blocking	100	1	1	25		10				76	8	block		1	1	block2		15	15					1	blac	shld										0	0	0
of Deflecting	100	1	1	35		20				76	8	block		1	2	block2		25	25					1	blac	shld										0	0	0
of Parrying	100	1	1	50		35				38	8	block		2	3	block2		35	35					1	blac	shld										0	0	0
of Repelling	100	1	1	65		50				19	8	block		3	5	block2		40	40					1	blac	shld										0	0	0
of the Apprentice	100	1	1	7	40	5				40	9	cast1		10	10									1	lblu	circ	rod	staf	wand	dclb	amul	ring				0	0	0
of the Magus	100	1	1	17		15				20	9	cast3		15	15									1	dblu	circ	rod	staf	wand	dclb	amul	ring				0	0	0
of the Magus	100	1	1	27		25				20	9	cast3		20	20									1	cblu	circ	rod	staf	wand	dclb	orb	wand				0	0	0
of the Wizard	100	1	1	48		36				20	9	cast3		30	30									1	cblu	circ	rod	staf	wand	dclb	orb	wand				0	0	0
of the Wizard	100	1	1	65		54				10	9	cast3		40	40									1	cblu	rod	staf	wand	dclb	ndgr	orb					0	0	0
of Frost	100	1	1	4	25	3				10	10	cold-min		5	15	cold-max		16	30	cold-len		50	50	1	lblu	weap	amul	ring	belt				staf	wand	orb	0	0	0
of the Icicle	100	1	1	15	34	15				10	10	cold-min		31	50	cold-max		51	75	cold-len		75	75	1	lblu	weap	amul	ring	belt				staf	wand	orb	0	0	0
of the Glacier	100	1	1	25	50	27				10	10	cold-min		76	100	cold-max		101	200	cold-len		100	100	1	dblu	weap	amul	ring	belt				staf	wand	orb	0	0	0
of Winter	100	1	1	34		39				8	10	dmg-cold	150	201	250	pierce-cold		5	10					1	cblu	weap	belt									0	0	0
of the Iceberg	100	1	1	50		51				4	10	dmg-cold	200	251	400	pierce-cold		5	15					1	cblu	weap										0	0	0
of the Ice Age	100	1	1	70		62				2	10	dmg-cold	250	401	500	pierce-cold		10	20					1	cblu	weap										0	0	0
of Flame	100	1	1	4	25	3				10	10	fire-min		10	20	fire-max		21	40					1	lred	weap	amul	ring	glov				staf	wand	orb	0	0	0
of Fire	100	1	1	15	34	15				10	10	fire-min		41	60	fire-max		61	85					1	lred	weap	amul	ring	glov				staf	wand	orb	0	0	0
of Burning	100	1	1	25	50	27				10	10	fire-min		86	125	fire-max		126	190					1	dred	weap	amul	ring	glov				staf	wand	orb	0	0	0
of Incineration	100	1	1	34		39				8	10	fire-min		191	220	fire-max		221	300	pierce-fire		5	10	1	cred	weap	glov									0	0	0
of Wildfire	100	1	1	50		51				4	10	fire-min		301	350	fire-max		351	400	pierce-fire		5	15	1	cred	weap										0	0	0
of Apocalypse	100	1	1	70		62				2	10	fire-min		401	450	fire-max		451	550	pierce-fire		10	20	1	cred	weap										0	0	0
of Shock	100	1	1	4	25	3				10	10	ltng-min		1	1	ltng-max		31	80					1	dyel	weap	amul	ring	boot				staf	wand	orb	0	0	0
of Lightning	100	1	1	15	34	15				10	10	ltng-min		1	1	ltng-max		81	180					1	dyel	weap	amul	ring	boot				staf	wand	orb	0	0	0
of Thunder	100	1	1	25	50	27				10	10	ltng-min		1	1	ltng-max		181	360					1	lyel	weap	amul	ring	boot				staf	wand	orb	0	0	0
of Storms	100	1	1	34		39				8	10	ltng-min		1	1	ltng-max		361	600	pierce-ltng		5	10	1	lyel	weap	boot									0	0	0
of Arcing	100	1	1	50		51				4	10	ltng-min		1	1	ltng-max		601	800	pierce-ltng		5	15	1	lyel	weap										0	0	0
of Electricity	100	1	1	70		62				2	10	ltng-min		1	1	ltng-max		801	1100	pierce-ltng		10	20	1	lyel	weap										0	0	0
of Blight	100	1	1	4	25	3				10	10	dmg-pois	50	256	256									1	lgrn	weap	amul	ring	circ				staf	wand	orb	0	0	0
of Venom	100	1	1	15	34	15				10	10	dmg-pois	75	426	426									1	lgrn	weap	amul	ring	circ				staf	wand	orb	0	0	0
of Pestilence	100	1	1	25	50	27				10	10	dmg-pois	100	896	896									1	dgrn	weap	amul	ring	circ				staf	wand	orb	0	0	0
of Anthrax	100	1	1	34		39				8	10	dmg-pois	125	1638	1638	pierce-pois		5	10					1	dgrn	weap	circ									0	0	0
of Toxin	100	1	1	50		51				4	10	dmg-pois	100	3840	3840	pierce-pois		5	15					1	cgrn	weap										0	0	0
of the Scorpion	100	1	1	70		62				2	10	dmg-pois	75	8533	8533	pierce-pois		10	20					1	cgrn	weap										0	0	0
of Worth	100	1	1	1	12	3				14	14	dmg-min		1	1									1	lgry	weap	amul	ring	circ	tors			staf	wand	orb	0	0	0
of Measure	100	1	1	12	24	15				14	14	dmg-min		2	3									1	dgry	weap	amul	ring	circ				staf	wand	orb	0	0	0
of Excellence	100	1	1	24	48	27				14	14	dmg-min		4	6									1	dgry	weap	amul	ring	circ				staf	wand	orb	0	0	0
of Performance	100	1	1	48		39				14	14	dmg-min		7	12									1	blac	weap	amul	ring	circ				staf	wand	orb	0	0	0
of Transcendence	100	1	1	60		51				14	14	dmg-min		13	20									1	blac	weap	amul						staf	wand	orb	0	0	0
of Steel	100	1	1	76		61				14	14	dmg-min		21	30									1	blac	weap							staf	wand	orb	0	0	0
of the Warrior	100	1	1	85		65				7	14	dmg-min		31	40									1	blac	weap							staf	wand	orb	0	0	0
of Craftsmanship	100	1	1	1	24	1				18	15	dmg-max		1	2									1	dgry	weap	circ	amul	ring	helm	shld		staf	wand	orb	0	0	0
of Quality	100	1	1	5	32	5				18	15	dmg-max		3	4									1	lgry	weap	circ	amul	ring	helm	shld		staf	wand	orb	0	0	0
of Maiming	100	1	1	8	40	8				18	15	dmg-max		5	7									1	dred	weap	circ						staf	wand	orb	0	0	0
of Slaying	100	1	1	14	48	14				18	15	dmg-max		8	12									1	dred	weap	circ						staf	wand	orb	0	0	0
of Gore	100	1	1	22	56	22				18	15	dmg-max		13	20									1	cred	weap	circ						staf	wand	orb	0	0	0
of Carnage	100	1	1	30		30				18	15	dmg-max		21	30									1	cred	weap							staf	wand	orb	0	0	0
of Slaughter	100	1	1	38		38				18	15	dmg-max		31	40									1	blac	weap							staf	wand	orb	0	0	0
of Butchery	100	1	1	46		46				18	15	dmg-max		41	55									1	blac	weap							staf	wand	orb	0	0	0
of Evisceration	100	1	1	54		54				18	15	dmg-max		56	80									1	blac	weap							staf	wand	orb	0	0	0
of Remedy	100	1	1	7	25	5				18	16	res-pois-len		25	25									1	lgrn	amul	ring	armo								0	0	0
of Amelioration	100	1	1	18		13				18	16	res-pois-len		50	50									1	cgrn	amul	ring	armo								0	0	0
of Defiance	100	1	1	25		18				18	16	res-pois-len		75	75									1	dred	amul	ring	armo								0	0	0
of Warmth	100	1	1	10		7				20	17	half-freeze		1	1									1	lblu	amul	ring	armo								0	0	0
of the Snowman	100	1	1	85		65				5	17	nofreeze		1	1									1	lblu	armo										0	0	0
of Balance	100	1	1	5	20	3				20	18	balance1		10	10									1	dyel	armo										0	0	0
of Equilibrium	100	1	1	9	35	6				20	18	balance2		20	20									1	dyel	armo										0	0	0
of Stability	100	1	1	18		13				20	18	balance3		30	30									1	lyel	armo										0	0	0
of Steadiness	100	1	1	35		34				20	18	balance3		40	40									1	lyel	tors	belt									0	0	0
of Tranquility	100	1	1	60		55				10	18	balance3		50	50									1	lyel	tors										0	0	0
of Pacing	100	1	1	2	25	1				20	19	move1		10	10									1	lblu	boot	circ									0	0	0
of Haste	100	1	1	22	40	16				20	19	move2		20	20									1	dblu	boot	circ									0	0	0
of Speed	100	1	1	37		29				20	19	move3		30	30									1	dblu	boot	circ									0	0	0
of Acceleration	100	1		51		43				20	19	move3		40	40									1	cblu	boot										0	0	0
of Traveling	100	1		65		57				20	19	move3		40	40	stam		100	200					1	cblu	boot										0	0	0
of Stamina	100	1		65		57				20	19	stam		200	300									1	cblu	boot										0	0	0
of Endurance	100	1		80		65				10	19	stam		500	600									1	cblu	boot										0	0	0
of Regeneration	100	1	1	15	25	7				20	20	regen		10	15									1	cred	armo	scep	staf	wand	amul	ring					0	0	0
of Regrowth	100	1	1	25	40	12				20	20	regen		20	25									1	cred	armo	scep	staf	wand	amul	ring					0	0	0
of Revivification	100	1	1	40		30				20	20	regen		30	50									1	cred	armo	scep	staf	wand	amul						0	0	0
of Vitality	100	1	1	59		45				10	20	regen		60	100									1	cred	armo	scep	staf	wand							0	0	0
of Immortality	100	1	1	80		61				5	20	regen		150	250									1	cred	tors	scep	staf	wand							0	0	0
of Vileness	100		1	9		6				18	21	noheal		1	1									1	blac	mele										0	0	0
of Greed	100	1	1	15	25	12				20	22	gold%		10	20									1	dgld	amul	circ	boot	glov	ring						0	0	0
of Greed	100	1	1	27		24				20	22	gold%		21	40									1	dgld	amul	circ	boot	glov	ring						0	0	0
of Greed	100	1	1	35		32				20	22	gold%		41	60									1	dgld	amul	circ	boot								0	0	0
of Greed	100	1	1	35		32				10	22	gold%		61	150									1	dgld	amul	circ									0	0	0
of Fortune	100	1	1	15	25	12				20	23	mag%		7	15									1	lgld	amul	circ	boot	glov	ring						0	0	0
of Fortune	100	1	1	27		24				20	23	mag%		16	30									1	lgld	amul	circ	boot	glov	ring						0	0	0
of Fortune	100	1	1	35		32				20	23	mag%		31	45									1	lgld	amul	circ	boot								0	0	0
of Fortune	100	1	1	35		32				10	23	mag%		46	100									1	lgld	amul	circ									0	0	0
of Riches	100	1	1	50		48				20	23	mag%		16	30	gold%		21	40					1	lyel	amul	circ	boot								0	0	0
of Riches	100	1	1	65		58				10	23	mag%		31	50	gold%		41	80					1	lyel	amul	circ	boot								0	0	0
of Riches	100	1	1	80		63				5	23	mag%		51	100	gold%		81	150					1	lyel	amul	circ									0	0	0
of Ease	100	1	1	15		11				18	24	ease		-20	-20									1	lpur	weap	helm	tors	shld							0	0	0
of Simplicity	100	1	1	25		18				18	24	ease		-30	-30									1	lpur	weap	helm	tors	shld							0	0	0
of Alleviation	100	1	1	35		25				18	24	ease		-40	-40									1	lpur	weap	helm	tors	shld							0	0	0
of Weight	100	1	1	50		41				4	24	ease		50	50	strpercent		5	15	dmg-max		10	25	1	lpur	weap							bow	jave	h2h	0	0	0
of the Ancients	100	1	1	80		65				1	24	ease		100	100	strpercent		10	30	dmg-max		26	40	1	lpur	weap							bow	jave	h2h	0	0	0
of the Cheetah	100	1	1	50		41				4	24	ease		50	50	dexpercent		5	15	dmg-max		10	25	1	lpur	bow	jave	h2h								0	0	0
of the Elves	100	1	1	80		65				1	24	ease		100	100	dexpercent		10	30	dmg-max		26	40	1	lpur	bow	jave	h2h								0	0	0
of the Genius	100	1	1	50		41				4	24	ease		25	25	enepercent		5	15	enr		20	40	1	lpur	staf	wand	scep	ndgr	dclb	orb	mana				0	0	0
of Infinity	100	1	1	80		65				1	24	ease		50	50	enepercent		10	30	enr		41	80	1	lpur	staf	wand	scep	ndgr	dclb	orb	mana				0	0	0
of the Bear	100	1	1	8		6				18	25	knock		1	1									1	blac	mele										0	0	0
of the Bear	100	1	1	85		63				2	25	knock		1	1									1	blac	miss										0	0	0
of Light	100	1	1	6	15	4				14	26	light		1	1	att/lvl	2							1	whit	amul	ring	armo								0	0	0
of Radiance	100	1	1	15	17	11				14	26	light		3	3	att/lvl	6							1	lyel	amul	ring	helm	glov							0	0	0
of the Sun	100	1	1	17	25	12				14	26	light		5	5	att/lvl	10							1	oran	amul	ring	helm								0	0	0
of the Sun	100	1	1	45		38				10	26	light		10	15									1	oran	amul	ring	tors								0	0	0
of the Sun	100	1	1	75		60				5	26	light		16	25									1	oran	tors	amul									0	0	0
of the Jackal	100	1	1	1	7	1				24	27	hp		1	5									1	oran	amul	ring	armo	staf	wand						0	0	0
of the Fox	100	1	1	7	15	5				24	27	hp		6	10									1	oran	amul	ring	armo	staf	wand						0	0	0
of the Wolf	100	1	1	15	20	11				24	27	hp		11	20									1	dred	amul	ring	armo	staf	wand						0	0	0
of the Tiger	100	1	1	20	25	15				24	27	hp		21	30									1	dred	amul	ring	armo	staf	wand						0	0	0
of the Mammoth	100	1	1	25		18				24	27	hp		31	40									1	cred	amul	ring	armo	staf	wand						0	0	0
of the Colossus	100	1	1	30		22				24	27	hp		41	60									1	cred	amul	armo	staf	wand							0	0	0
of the Squid	100	1	1	40		30				24	27	hp		61	80									1	cred	amul	armo	staf	wand							0	0	0
of the Whale	100	1	1	50		37				24	27	hp		81	100									1	cred	amul	armo	staf	wand							0	0	0
of the Whale	100	1	1	65		55				12	27	hp		101	150									1	cred	amul	tors	belt	staf	wand						0	0	0
of the Whale	100	1	1	85		63				6	27	hp		151	250									1	cred	amul	tors									0	0	0
of the Leech	100	1	1	6		4				22	28	lifesteal		4	6									1	cred	weap	amul	ring	circ	glov						0	0	0
of the Locust	100	1	1	20		15				22	28	lifesteal		7	9									1	cred	weap	amul	ring	circ							0	0	0
of the Lamprey	100	1	1	55		43				22	28	lifesteal		10	12									1	cred	mele										0	0	0
of the Bat	100	1	1	7		4				22	29	manasteal		4	6									1	cblu	weap	amul	ring	circ	glov						0	0	0
of the Wraith	100	1	1	21		16				22	29	manasteal		7	9									1	cblu	weap	amul	ring	circ							0	0	0
of the Vampire	100	1	1	56		48				22	29	manasteal		10	12									1	cblu	mele										0	0	0
of Strength	100	1	1	1	10	1				18	30	str		1	3									1	dred	amul	ring	armo	mele							0	0	0
of Might	100	1	1	10	26	8				18	30	str		4	6									1	dred	amul	ring	armo	mele							0	0	0
of the Ox	100	1	1	26	42	19				18	30	str		7	10									1	dred	amul	ring	armo	mele							0	0	0
of the Giant	100	1	1	42	58	34				18	30	str		11	15									1	dred	amul	ring	armo	mele							0	0	0
of the Titan	100	1	1	58		50				18	30	str		16	20									1	cred	amul	helm	tors	belt	blun	ring					0	0	0
of Atlus	100	1	1	71		63				18	30	str		21	30									1	cred	amul	helm	tors	belt	blun						0	0	0
of Atlus	100	1	1	80		63				8	30	str		21	30	strpercent		5	10					1	cred	mele	tors	belt	amul				staf	wand		0	0	0
of Atlus	100	1	1	85		63				4	30	str		21	30	strpercent		10	20					1	cred	mele	tors	belt					staf	wand		0	0	0
of Dexterity	100	1	1	1	10	1				18	31	dex		1	3									1	dgrn	amul	miss	helm	tors	glov	ring	boot				0	0	0
of Skill	100	1	1	10	26	8				18	31	dex		4	6									1	dgrn	amul	miss	helm	tors	glov	ring	boot				0	0	0
of Accuracy	100	1	1	26	42	19				18	31	dex		7	10									1	dgrn	amul	miss	helm	tors	glov	ring	boot				0	0	0
of Precision	100	1	1	42	58	34				18	31	dex		11	15									1	dgrn	amul	miss	helm	tors	glov	ring	boot				0	0	0
of Perfection	100	1	1	58		50				18	31	dex		16	20									1	cgrn	amul	miss	helm	tors	glov	ring					0	0	0
of Nirvana	100	1	1	71		63				18	31	dex		21	30									1	cgrn	amul	miss	helm	tors	glov						0	0	0
of Nirvana	100	1	1	80		63				8	31	dex		21	30	dexpercent		5	10					1	cgrn	amul	miss	tors	glov							0	0	0
