Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	7	119	191	7	140	224	10	140	280	10	140	280	10	321	2490	21	321	3321	4	6	8	4	6	8	30	78	117	30	78	117
2	15	132	210	15	156	247	15	163	330	15	163	330	11	339	2556	27	339	3408	6	8	12	6	8	12	40	104	156	40	104	156
3	23	145	230	23	171	270	23	187	379	23	187	379	14	360	2625	36	360	3501	6	8	12	6	8	12	50	131	197	50	131	197
4	31	158	249	31	187	293	33	210	429	33	210	429	18	375	2691	45	375	3588	8	10	14	8	10	14	60	156	234	60	156	234
5	39	172	269	39	202	315	45	234	478	45	234	478	20	396	2760	51	396	3681	8	10	14	8	10	14	70	182	273	70	182	273
6	46	185	288	46	218	339	58	257	527	58	257	527	24	417	2826	60	417	3768	10	14	18	10	14	18	80	207	311	80	207	311
7	54	198	306	54	234	361	72	280	577	72	280	577	28	435	2895	69	435	3861	10	14	18	10	14	18	90	234	351	90	234	351
8	62	211	327	62	249	384	87	304	626	87	304	626	32	456	2961	81	456	3948	12	16	22	12	16	22	100	260	390	100	260	390
9	70	224	347	70	265	408	101	327	676	101	327	676	71	439	2828	86	439	3771	13	17	24	13	17	24	110	285	428	110	285	428
10	78	239	365	78	280	430	115	351	725	115	351	725	81	459	2889	98	459	3852	13	17	24	13	17	24	120	312	468	120	312	468
11	85	252	386	85	296	453	130	374	774	130	374	774	83	478	2954	100	478	3939	15	20	28	15	20	28	130	338	507	130	338	507
12	93	265	404	93	312	475	144	397	824	144	397	824	93	495	3015	112	495	4020	15	20	28	15	20	28	140	363	545	140	363	545
13	101	278	423	101	327	499	158	421	873	158	421	873	102	515	3080	123	515	4107	17	22	32	17	22	32	154	401	602	154	401	602
14	109	291	444	109	343	522	172	444	923	172	444	923	111	529	3141	134	529	4188	19	24	36	19	24	36	169	440	660	169	440	660
15	117	305	462	117	358	544	187	468	972	187	468	972	120	548	3206	145	548	4275	19	24	36	19	24	36	186	482	723	186	482	723
16	124	318	482	124	374	568	201	491	1021	201	491	1021	130	568	3267	156	568	4356	20	28	38	20	28	38	205	533	800	205	533	800
17	132	331	501	132	390	590	215	514	1071	215	514	1071	140	585	3332	168	585	4443	20	28	38	20	28	38	225	584	876	225	584	876
18	140	344	521	140	405	613	230	538	1120	230	538	1120	149	604	3393	179	604	4524	22	30	41	22	30	41	248	644	966	248	644	966
19	148	357	542	148	421	637	244	561	1170	244	561	1170	146	574	3211	176	574	4282	23	30	43	23	30	43	273	708	1062	273	708	1062
20	156	371	560	156	436	659	258	585	1219	258	585	1219	157	592	3268	189	592	4357	23	30	43	23	30	43	300	779	1169	300	779	1169
21	163	384	579	163	452	682	273	608	1268	273	608	1268	168	613	3328	202	613	4438	25	34	46	25	34	46	330	857	1286	330	857	1286
22	171	397	599	171	468	704	287	631	1318	287	631	1318	181	631	3385	218	631	4513	25	34	46	25	34	46	363	942	1413	363	942	1413
23	179	410	618	179	483	728	301	655	1367	301	655	1367	192	644	3445	231	644	4594	27	36	50	27	36	50	399	1035	1553	399	1035	1553
24	187	423	638	187	499	751	315	678	1417	315	678	1417	203	663	3502	244	663	4669	28	37	54	28	37	54	439	1139	1709	439	1139	1709
25	195	438	657	195	514	773	330	702	1466	330	702	1466	216	678	3562	260	678	4750	28	37	54	28	37	54	470	1220	1830	470	1220	1830
26	202	451	677	202	530	796	344	725	1515	344	725	1515	229	696	3619	275	696	4825	30	41	55	30	41	55	503	1305	1958	503	1305	1958
27	210	464	696	210	546	819	358	748	1565	358	748	1565	244	715	3679	293	715	4906	30	41	55	30	41	55	538	1397	2096	538	1397	2096
28	218	477	716	218	561	842	373	772	1614	373	772	1614	260	728	3736	312	728	4981	32	43	59	32	43	59	576	1494	2241	576	1494	2241
29	226	490	735	226	577	865	387	795	1664	387	795	1664	251	688	3504	302	688	4672	32	42	59	32	42	59	616	1598	2397	616	1598	2397
30	234	504	755	234	592	887	401	819	1713	401	819	1713	267	768	3556	321	768	4742	32	42	59	32	42	59	659	1709	2564	659	1709	2564
31	241	517	774	241	608	911	416	842	1762	416	842	1762	283	852	3612	340	852	4816	34	45	62	34	45	62	706	1832	2748	706	1832	2748
32	249	530	793	249	624	933	430	865	1812	430	865	1812	300	931	3664	360	931	4886	34	45	62	34	45	62	755	1958	2937	755	1958	2937
33	257	543	813	257	639	956	444	889	1861	444	889	1861	315	1015	3720	379	1015	4960	35	47	66	35	47	66	808	2097	3146	808	2097	3146
34	265	556	833	265	655	980	458	912	1911	458	912	1911	331	1094	3772	398	1094	5030	37	49	69	37	49	69	864	2241	3362	864	2241	3362
35	273	570	851	273	670	1002	473	936	1960	473	936	1960	347	1178	3828	417	1178	5104	37	49	69	37	49	69	925	2399	3599	925	2399	3599
36	280	583	872	280	686	1025	487	959	2009	487	959	2009	363	1260	3880	436	1260	5174	39	52	73	39	52	73	990	2568	3852	990	2568	3852
37	288	596	890	288	702	1047	501	982	2059	501	982	2059	380	1341	3936	456	1341	5248	39	52	73	39	52	73	1059	2745	4118	1059	2745	4118
38	296	609	910	296	717	1071	516	1006	2108	516	1006	2108	395	1423	3988	475	1423	5318	40	54	74	40	54	74	1133	2939	4409	1133	2939	4409
39	304	622	930	304	733	1094	530	1029	2158	530	1029	2158	377	1379	3707	453	1379	4943	40	52	73	40	52	73	1212	3144	4716	1212	3144	4716
40	312	637	949	312	748	1116	544	1053	2207	544	1053	2207	394	1454	3755	473	1454	5007	40	52	73	40	52	73	1297	3365	5048	1297	3365	5048
41	319	650	968	319	764	1140	559	1076	2256	559	1076	2256	412	1531	3806	495	1531	5075	41	56	76	41	56	76	1388	3600	5400	1388	3600	5400
42	327	663	988	327	780	1162	573	1099	2306	573	1099	2306	428	1603	3854	514	1603	5139	41	56	76	41	56	76	1485	3852	5778	1485	3852	5778
43	335	676	1007	335	795	1185	587	1123	2355	587	1123	2355	445	1680	3905	534	1680	5207	43	57	80	43	57	80	1589	4121	6182	1589	4121	6182
44	343	689	1028	343	811	1209	601	1146	2405	601	1146	2405	463	1753	3953	556	1753	5271	44	59	83	44	59	83	1693	4409	6614	1693	4409	6614
45	351	703	1046	351	826	1231	616	1170	2454	616	1170	2454	480	1830	4004	576	1830	5339	44	59	83	44	59	83	1797	4718	7077	1797	4718	7077
46	358	716	1066	358	842	1254	630	1193	2503	630	1193	2503	496	1907	4052	596	1907	5403	46	62	86	46	62	86	1901	5051	7577	1901	5051	7577
47	366	729	1085	366	858	1276	644	1216	2553	644	1216	2553	515	1980	4103	618	1980	5471	46	62	86	46	62	86	2005	5402	8103	2005	5402	8103
48	374	742	1105	374	873	1300	659	1240	2602	659	1240	2602	531	2057	4151	638	2057	5535	48	64	89	48	64	89	2109	5783	8675	2109	5783	8675
49	382	755	1124	382	889	1323	673	1263	2652	673	1263	2652	498	1936	3820	598	1936	5094	46	61	85	46	61	85	2213	6186	9279	2213	6186	9279
50	390	769	1144	390	904	1345	687	1287	2701	687	1287	2701	516	2006	3864	620	2006	5152	46	61	85	46	61	85	2317	6618	9927	2317	6618	9927
51	397	782	1163	397	920	1368	702	1310	2750	702	1310	2750	535	2074	3910	642	2074	5214	48	64	88	48	64	88	2421	7080	10620	2421	7080	10620
52	405	795	1183	405	936	1391	716	1333	2800	716	1333	2800	551	2142	3954	662	2142	5272	48	64	88	48	64	88	2525	7506	11259	2525	7506	11259
53	413	808	1202	413	951	1414	730	1357	2849	730	1357	2849	570	2210	4000	684	2210	5334	49	66	91	49	66	91	2629	7956	11934	2629	7956	11934
54	421	821	1222	421	967	1437	744	1380	2899	744	1380	2899	586	2278	4060	704	2278	5414	51	67	94	51	67	94	2733	8435	12653	2733	8435	12653
