skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	*eol
attack	0	0	0	0	2		skillname0	skillld0	skillld0	skillan0	1												2																																																																																																0
kick	0	0	0	-1	0		skillname1	skillld1	skillld1	skillan1	2																																																																																																												0
throw	0	0	0	0	6		skillname2	skillld2	skillld2	skillan2	3												3																																																																																																0
unsummon	0	0	0	0	4		skillname3	skillld3	skillld3	skillan3																																																																																																													0
left hand throw	0	0	0	0	12		skillname4	skillld4	skillld4	skillan4	4												4																																																																																																0
left hand swing	0	0	0	-1	10		skillname5	skillld5	skillld5	skillan5																																																																																																													0
magic arrow	1	1	3	1	0	33	skillname6	magicarrow2	magicarrow3	skillan6	6												1				36	StrSkill3		usmc	256	75	StrSkill39		edmn	edmx	74	StrSkill22		toht		74	phystomagicdesc		min(90,49+lvl)												74	WeapDamsk		25		7	StrSkill205x		clc1		18	additionalmissilesperlevel														40	Sksyn	skillname6	2		76	damageandar	skillname11	par8		76	damageandar	skillname16	par8		76	damageandar	skillname12	par8																			0
fire arrow	1	1	2	1	2	1	poisonarrow1	poisonarrow2	poisonarrow3	poisonarrow1	5												1				36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																																					40	Sksyn	poisonarrow1	2		76	Poisdplev	skillname27	par8		76	Poisdplev	skillname31	par8		76	Poisdplev	lightningarrow1	par8																			0
inner sight	2	2	1	2	4	0	skillname8	skillld8	skillld8	skillan8																	36	StrSkillDurationSingular	StrSkill20	len	25	74	bonusphysicalresist	-dm12-(skill('Slow Missiles'.blvl)+skill('Penetrate'.blvl))*par8	ast2		74	StrSkillEnemyDefenseFlatBonus		ast1																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	rng*2	3																40	Sksyn	skillname8	2		76	Defplev	skillname23	-par8		76	Defplev	skillname17	-par8		63	skillname9	PhysResplev	-2		63	skillname17	PhysResplev	-2														0
critical strike	2	1	3	2	6		skillname9	skillld9	skillld9	skillan9																	74	StrSkill285b		pst1																											74	StrSkill154		blvl		18	CrushingBlowCS																																																								0
jab	3	1	3	3	8	5	skillname10	skillld10	skillld10	skillan10	7	clc1											1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1		74	StrSkill22		toht																	18	StrSkill61																								40	Sksyn	skillname10	2		76	Damplev	skillname14	par8		76	Damplev	skillname30	par8		76	Damplev	skillname19	par8		76	Damplev	skillname34	par8		76	Damplev	skillname24	par8									0
cold arrow	1	3	3	1	10	3	skillname11	coldarrow2	coldarrow3	skillan11	6												1				36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma	74	StrSkill22		toht		74	coldconvert		min(90,49+lvl)							74	WeapDamsk		50																						40	Sksyn	skillname11	2		76	damageandar	skillname6	par8		76	damageandar	skillname16	par8		76	damageandar	tornadoshot1	par8																			0
