index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
The Perfect Cell	0	100	1			6	1	60	40	cm1	Small Charm	1	6	10000	cgrn	cgrn						regen		150	200	regen-mana		50	100	stam		200	300	lifesteal		10	15	manasteal		10	15																														0
Yello Jello	1	100	1			6	1	60	40	cm2	Large Charm	1	6	10000	lyel	lyel						swing1		5	10	ltng-min		12	24	ltng-max		48	72	light-thorns		15	30	stam		15	45	res-all		5	10																										0
Lothar's Will	2	100	1			6	1	60	40	cm3	Grand Charm	1	6	10000	cblu	cblu						mana%		6	12	cast1		6	12	dmg-to-mana		6	12	allskills		1	1																																		0
Deviant Cell	3	100	1			1	1	60	40	cm4	Odd Charm	1	6	10000	oran	oran						str		10	15	dmg/lvl	2			mag%		30	30	ac		100	100	dex		10	15	allskills		2	2	regen		-15	-15																						0
Vlad Tepe's Sustenance	4	100	1			1	1	70	80	cm1	Small Charm	1	6	10000	blac	blac						abs-elem%		2	5	mag%		30	50	res-all		20	30	red-dmg%		10	15	res-pois-len		50	50																														0
Something Wicked	5	100	1			1	1	70	80	cm2	Large Charm	1	6	10000	dblu	dblu						ama		0	1	ass		0	1	bar		0	1	dru		0	1	nec		0	1	pal		0	1	sor		0	1	res-all		10	15	mana/lvl	8																0
The Unknown Hero	6	100	1			1	1	70	80	cm3	Grand Charm	1	6	10000	dgrn	dgrn						allskills		1	1	thorns		100	150	red-mag		5	10	red-dmg		5	10	str		10	20	dex		10	20	swing1		10	20	enr		10	20	cast2		10	20														0
Fallen Star	7	0	1			6	1	10	5	rin	Ring		7	15000	dblu	dblu		invrin1				mana		15	30	hp		25	50	mag%		35	50	red-mag		3	3	res-all		25	25	rip		1	1																										0
Dragon Eye	8	0	1			5	1	20	10	rin	Ring		8	20000	lred	lred		invrin2				att-skill	Fire Ball	25	10	att-skill	Charged Bolt	25	10	att-skill	Frost Nova	25	10	regen		50	100	regen-mana		25	75	extra-fire		15	20	extra-ltng		15	20	extra-cold		15	20																		0
Ring of Vengeance	9	0	1			4	1	30	20	rin	Ring		9	25000	dgry	dgry		invrin3				att%		15	30	dmg%		15	15	hp/lvl	8			dmg/lvl	4			thorns		400	800	lifesteal		6	10	pierce		25	25	dmg-norm		10	20																		0
Elemental Jewel	10	0	1			3	1	40	30	rin	Ring		10	30000	cred	cred		invrin4				res-all		30	40	res-all-max		1	2	gold%		50	50	dmg-fire		200	300	dmg-ltng		1	500	dmg-cold	250	225	275	allskills		1	2																						0
Zodiac Band	11	0	1			1	1	60	50	rin	Ring		12	40000	cgrn	cgrn		invrin5				allskills		2	2	all-stats		20	40	swing2		20	20	cast2		20	20	move2		20	20	mana-kill		20	40	strpercent		10	25	dexpercent		10	25	vitpercent		10	25	enepercent		10	25										0
The One Ring	12	0	1			1	1	75	60	rin	Ring		12	40000				invrin7				allskills		1	3	regen		-1	-250	res-all		1	40	red-mag		1	50	red-dmg%		1	10	mag%		100	100	hp%		15	30	mana%		15	30	oskill	fade	1	15														0
Lily Petal	13	0	1			8	1	45	45	zrn	Ring		12	40000	dgrn	dgrn						ama		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Pierce	1	10	swing1		20	20	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Forget-Me-Not Petal	14	0	1			8	1	45	45	srn	Ring		12	40000	lblu	lblu						sor		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Warmth	1	10	cast1		20	20	charged	Spirit of Nature	5	5	heal-kill		5	10	gold%		20	40										0
Cactus Petal	15	0	1			8	1	45	45	nrn	Ring		12	40000	cgrn	cgrn						nec		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Bone Armor	1	10	regen-mana		35	35	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
White Rose Petal	16	0	1			8	1	45	45	prn	Ring		12	40000	bwht	bwht						pal		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Holy Shield	1	10	block		2	2	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Violet Petal	17	0	1			8	1	45	45	brg	Ring		12	40000	lpur	lpur						bar		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Battle Orders	1	10	dmg-to-mana		20	30	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Dandelion Petal	18	100	1			8	1	45	45	drn	Ring		12	40000	oran	oran						dru		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Shape Shifting	1	10	regen		100	100	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Red Rose Petal	19	100	1			8	1	45	45	arn	Ring		12	40000	dred	dred						ass		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Blade Nova	1	10	balance1		20	20	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Elven Blessing	20	0	1			3	1	60	60	zrn	Ring		12	40000	cgrn	cgrn						ama		2	2	res-all		15	20	mag%		20	100	dex		25	25	enr		25	25	att-skill	Lightning Strike	20	30	balance3		20	20	swing2		20	20	move2		20	20	att/lvl	6			att		200	300						0
Khelek's Crystal Band	21	0	1			3	1	60	60	srn	Ring		12	40000				invkhelek				sor		2	2	res-all		15	20	mag%		20	100	res-mag		15	20	dmg-to-mana		30	50	mana/lvl	16			cast2		20	25	oskill	Lower Resist	1	8	skill	Teleport	8	8	skill	Time Stop	8	8										0
Vorador's Essence	22	0	1			3	1	60	60	nrn	Ring		12	40000	dgrn	dgrn						nec		2	2	red-dmg%		10	15	extra-summ		10	20	skill	Golem Mastery	1	15	skill	Skeleton Mastery	1	15	skill	Summon Resist	1	15	move3		20	20	ac%		50	100	cast2		20	20	mana%		20	20	skilltab	7	1	2	hp%		20	20		0
Rock of Aadeyen	23	0	1			3	1	60	60	prn	Ring		12	40000	cblu	cblu						pal		2	2	res-all		15	30	mag%		20	100	str		25	25	swing2		20	20	dex		25	25	hp%		15	15	skill	Holy Shield	8	8	att/lvl	6			pierce-fire		5	10	pierce-cold		5	10	pierce-ltng		5	10		0
Madawc's Frenzy	24	0	1			3	1	60	60	brg	Ring		12	40000	oran	oran						bar		2	2	move3		30	30	mag%		20	100	str		30	30	swing2		30	30	dmg/lvl	4			skill	Battle Command	8	8	lifesteal		7	10	dmg-norm		10	20	extra-mag2		10	20										0
Alakashar Rahl	25	100	1			3	1	60	60	drn	Ring		12	40000	cgrn	cgrn						dru		2	2	dmg/lvl	4			mag%		20	100	str		25	25	att/lvl	6			deadly		20	20	crush		20	20	vit		25	25	ac%		25	25	cast2		20	20	passive-summ-elemental-resist		10	20	passive-summ-phys-resist		4	7		0
Lilith's Heart	26	100	1			3	1	60	60	arn	Ring		12	40000	cred	cred						ass		2	2	res-all		15	20	mag%		20	100	hp%		15	15	reduce-ac		30	50	hp/lvl	12			red-mag		15	25	extra-summ		10	30	swing2		20	20	balance3		20	20										0
Dfuzzz's Fingerguard	27	0	1			1	1	75	75	zrn	Ring		12	40000	oran	oran						ama		2	2	skill-rand	5	6	35	dmg%		50	100	dex/lvl	8			res-all		20	25	mag%		30	35	hit-skill	Time Stop	1	60	oskill	Quickness	5	15	move3		25	25	addxp		3	3	skill-rand	5	6	35	skill	Power of Athulua	5	15		0
Killashandra Ree's Black C	28	0	1			1	1	75	75	srn	Ring		12	40000	blac	blac						sor		2	2	skill-rand	5	36	65	ac/lvl	40			enr/lvl	8			res-all		20	25	mag%		30	35	gethit-skill	SNova	25	60	regen-mana		100	200	cast3		25	25	addxp		3	3	skill-rand	5	36	65	skill	Elemental Fury	5	15		0
BlackMage's Knucklebone	29	0	1			1	1	75	75	nrn	Ring		12	40000	dgry	dgry						nec		2	2	skill-rand	5	66	95	ac/lvl	40			enr/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Bone Armor	10	60	oskill	Energy Shield	5	15	cast3		25	25	addxp		3	3	skill-rand	5	66	95	skill	Corpse Explosion	5	15		0
The Tipsy Donut	30	0	1			1	1	75	75	prn	Ring		12	40000	cred	cred						pal		2	2	skill-rand	5	96	125	dmg%		50	100	str/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Fist of the Heavens	10	60	oskill	Summon Grizzly	5	15	move3		25	25	addxp		3	3	skill-rand	5	96	125	skill	Fanaticism	5	15		0
The Mad Celt's Shining Sparkly	31	0	1			1	1	75	75	brg	Ring		12	40000	dgrn	dgrn						bar		2	2	skill-rand	5	126	155	dmg%		50	100	str/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Pole Arm Mastery	10	60	oskill	Elemental Fury	5	15	move3		25	25	addxp		3	3	skill-rand	5	126	155	skill	Berserk	5	15		0
Yagul's Wrath	32	100	1			1	1	75	75	drn	Ring		12	40000	dblu	dblu						dru		2	2	skill-rand	5	221	250	dmg%		50	100	vit/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Monsoon	10	60	oskill	Battle Command	5	15	move3		25	25	addxp		3	3	skill-rand	5	221	250	skill	Fury	5	15		0
Killjoy's Attitude	33	100	1			1	1	75	75	arn	Ring		12	40000	blac	blac						ass		2	2	skill-rand	5	251	280	dmg%		50	100	vit/lvl	8			res-all		20	25	mag%		30	35	kill-skill	SCold Missiles	10	60	oskill	Eagle Eye	5	15	move3		25	25	addxp		3	3	skill-rand	5	251	280	skill	Shadow Master	5	15		0
Lovers' Pendant	34	0	1			6	1	10	5	amu	Amulet		7	15000	cred	cred		invamu1				regen		7	7	ac		25	25	ac/lvl	4			hp		20	30	hp/lvl	8			gold%		25	50	res-all		20	30																						0
Eye of the Witch	35	0	1			5	1	20	10	amu	Amulet		8	20000	lblu	lblu		invamu2				allskills		1	1	mana		30	50	light		3	3	cast1		15	15	oskill	Meditation	1	1	regen-mana		30	30	move1		15	15	res-cold		40	40	res-ltng		40	40														0
Collar of the Minotaur	36	0	1			4	1	30	20	amu	Amulet		9	25000	dred	dred		invamu3				str		15	15	vit		15	15	crush		15	15	res-fire		40	40	dmg-max		10	15	regen		7	9	red-dmg		3	5	oskill	Might	5	10	allskills		1	1														0
Beads of the Guardian	37	0	1			3	1	40	30	amu	Amulet		10	30000	lgry	lgry		invamu4				ac%		50	50	ac/lvl	8			red-dmg		10	20	red-mag		10	20	res-all		30	30	nofreeze		1	1	move2		20	20	dex		10	15	allskills		2	2	oskill	Energy Shield	10	10	dmg-to-mana		100	200						0
Eye of the Beholder	38	0	1			1	1	60	50	amu	Amulet		12	40000	bwht	bwht		invamu5				kill-skill	Glacial Spike	17	50	pierce-cold		5	10	hp		100	100	mana		50	50	cast1		15	15	swing1		15	15	ac		100	100	coldskill		2	2	allskills		1	1	oskill	Time Stop	1	1	oskill	370	1	1						0
Spellcasters Aide	39	0	1			1	1	75	60	amu	Amulet		12	40000	cgrn			invamu7				mana%		50	50	mana/lvl	12			allskills		2	2	red-dmg%		10	15	aura	Sanctuary	20	30	cast3		60	60	hp/lvl	12			enepercent		10	30																		0
Talisman of Benzaiten	40	0	1			8	1	45	45	zam	Amulet		12	40000	oran	oran						allskills		1	1	skilltab	0	0	1	skilltab	1	0	1	skilltab	2	0	1	red-dmg%		10	10	skill	Valkyrie Mastery	3	6	ac/lvl	40			gold%		50	100	regen		50	100	dex/lvl	6												0
