*Name	StrOnly	StatOnly	tblIDx	Font	Color	Xleft	Xright	Y	Stat	Font2	Color2	RiN	Xleft2	Xright2	Y2	*eol
	1		cb%	12	0	18	18	122		1	0	1	20	20	122	0
		1							item_crushingblow	12	0	1	35	35	121	0
	1		ds%	12	0	18	18	135		1	0	1	18	18	135	0
		1							item_deadlystrike	12	0	1	35	35	134	0
	1		ll%	12	1	53	53	122		1	0	1	54	54	122	0
		1							lifedrainmindam	12	1	1	71	71	121	0
	1		ml%	12	3	54	54	135		1	0	1	54	54	135	0
		1							manadrainmindam	12	3	1	71	71	134	0
	1		lpk	12	1	93	93	122		1	0	1	93	93	122	0
		1							item_healafterkill	12	1	1	113	113	121	0
	1		mpk	12	3	94	94	135		1	0	1	94	94	135	0
		1							item_manaafterkill	12	3	1	113	113	134	0
	1		pierce%	12	0	66	66	186		1	0	1	66	66	186	0
		1							passive_fire_pierce	12	1	1	20	20	196	0
		1							passive_cold_pierce	12	3	1	43	43	196	0
		1							passive_ltng_pierce	12	7	1	66	66	196	0
		1							passive_pois_pierce	12	2	1	89	89	196	0
		1							passive_mag_pierce	12	8	1	112	112	196	0
		1							passive_phys_pierce	12	0	1	135	135	196	0
	1		plus%	12	0	66	66	209		1	0	1	66	66	209	0
		1							passive_fire_mastery	12	1	1	20	20	219	0
		1							passive_cold_mastery	12	3	1	43	43	219	0
		1							passive_ltng_mastery	12	7	1	66	66	219	0
		1							passive_pois_mastery	12	2	1	89	89	219	0
		1							passive_mag2_mastery	12	8	1	112	112	219	0
		1							passive_wind_mastery	12	0	1	135	135	219	0
	1		absorb%	12	0	55	55	271		1	0	1	55	55	271	0
		1							item_absorbfire_percent	12	1	1	20	20	281	0
		1							item_absorbcold_percent	12	3	1	43	43	281	0
		1							item_absorblight_percent	12	7	1	66	66	281	0
		1							item_absorbmagic_percent	12	8	1	89	89	281	0
		1							abs-phys_percent	12	0	1	112	112	281	0
	1		mf%	12	3	21	21	337		1	0	1	21	21	337	0
		1							item_magicbonus	12	3	1	51	51	336	0
	1		gf%	12	4	80	80	337		1	0	1	80	80	337	0
		1							item_goldbonus	12	4	1	111	111	336	0
			fbr%	12	0	20	20	384	item_fasterblockrate	12	0	1	50	50	383	0
			fcr%	12	0	20	20	398	item_fastercastrate	12	0	1	50	50	397	0
			fhr%	12	0	79	79	384	item_fastergethitrate	12	0	1	107	107	383	0
			plr%	12	2	79	79	398	item_poisonlengthresist	12	2	1	107	107	397	0
			pdr	12	0	20	20	413	normal_damage_reduction	12	0	1	50	50	412	0
			mdr	12	0	20	20	427	magic_damage_reduction	12	0	1	50	50	426	0
			dr%	12	0	79	79	413	damageresist	12	0	1	107	107	412	0
			mr%	12	0	79	79	427	magicresist	12	0	1	107	107	426	0
