"Echo Chamber"	"Perfect Cell's Memorial"
"To The Echo Chamber"	"To Perfect Cell's Memorial"
"To The Glacier Caves Level 2"	"To Tsuru's Memorial"
"Glacial Caves Level 2"	"Tsuru's Memorial"
"ModStrcurseresist"	"Reduces Curse Length by"
"ModStrMinion"	"additional Minion"
"ModStrTrap"	"additional Trap"
"ModStrCorrupt"	"\red;*** Corrupted (Equipment) ***"
"increaseswithkill"	"(Based on Total Kills)"
"maxlvl"	"Maximum Skill Level Increased by"
"Hellfire Torch"	"Hellfire Torch"
"Hidden Treasure 1"	"Raz's Treasure"
"Hidden Treasure 2"	"Retheion's Treasure"
"Hidden Treasure 3"	"Permachill's Treasure "
"Hidden Treasure 4"	"Corr's Treasure "
"Hidden Treasure 5"	"Dondran's Treasure "
"Hidden Treasure 6"	"Hidden Treasure "
"Hidden Treasure 7"	"Metalistas's Treasure "
"Hidden Treasure 8"	"Adam's Treasure "
"Rainbow Facet 1"	"Rainbow Facet "
"Rainbow Facet 2"	"Rainbow Facet "
"Rainbow Facet 3"	"Rainbow Facet "
"Rainbow Facet 4"	"Rainbow Facet "
"Rainbow Facet 5"	"Rainbow Facet "
"Rainbow Facet 6"	"Rainbow Facet "
"Rainbow Facet 7"	"Rainbow Facet "
"Rainbow Facet 8"	"Rainbow Facet "
"Tinker"	"Tinker Points Left"
"11143"	"Merc Only"
"of Decrepification"	"of Decrepification"
"of lowered Resistance"	"of lowered Resistance"
"of Flesh and Bone"	"of Flesh and Bone"
"Warrior's"	"Warrior's"
"Rogue's"	"Rogue's"
"Highlander's"	"Highlander's"
"Mage's"	"Mage's"
"dy21"	"Undye"
"dy1"	"Lightgrey Dye"
"dy2"	"Darkgrey Dye"
"dy3"	"Black Dye"
"dy4"	"Lightblue Dye"
"dy5"	"Darkblue Dye"
"dy6"	"Crystalblue Dye"
"dy7"	"Lightred Dye"
"dy8"	"Darkred Dye"
"dy9"	"Crystalred Dye"
"dy10"	"Lightgreen Dye"
"dy11"	"Darkgreen Dye"
"dy12"	"Crystalgreen Dye"
"dy13"	"Lightyellow Dye"
"dy14"	"Darkyellow Dye"
"dy15"	"Lightgold Dye"
"dy16"	"Darkgold Dye"
"dy17"	"Lightpurple Dye"
"dy18"	"Darkpurple Dye"
"dy19"	"Orange Dye"
"dy20"	"Brightwhite Dye"
"kills"	"Monsters killed"
"Killcounter"	"Killcounter"
"ModStrrep1"	"Replenishes %d Quantity in %d Frames"
"of Splash"	"of Splash"
"Skillname453"	"Splash Damage"
"healkillStr"	"%d%% of Life Replenished on Kill"
"ModStrrep2"	"Replenishes %d Durability  in %d Frames"
"cooldowndesc"	"Castdelay for "
"hydramagdmg"	"Hydra Magic Damage: "
"ocr1"	"\red;Corruption Orb"
"ocr2"	"\red;Corruption Orb"
"ocr_dsc"	"Corrupts an Item, Modifying it Unpredictably"
"ModStre10dnew"	"\red;(do not use)\blue;"
"increaseswithcoldres"	"(Based on Cold Resistance)"
"increaseswithfireres"	"(Based on Fire Resistance)"
"increaseswithltngres"	"(Based on Lightning Resistance)"
"StrTempFacet1"	"4% Increased Fire damage per Rainbow Facet"
"StrTempFacet2"	"4% Increased Cold damage per Rainbow Facet"
"StrTempFacet3"	"4% Increased Lightning damage per Rainbow Facet"
"StrTempFacet4"	"4% Increased Poison damage per Rainbow Facet"
"toa"	"Token of Absolution"
"of the Mumakil"	"of the Mumakil"
"of the Watcher"	"of the Watcher"
"increaseswithfireres"	"(Based on Cold Resistance)"
"increaseswithcoldres"	"(Based on Fire Resistance)"
"increaseswithltngres"	"(Based on Lightning Resistance)"
"Kron's"	"Kron's"
"Ronal's"	"Ronal's"
"Volcazar's"	"Volcazar's"
"Furozun"	"Furozun"
"Shokku"	"Shokku"
"Nensho"	"Nensho"
"of Flames"	"of Flames"
"of Immolation"	"of Immolation"
"of Incineration"	"of Incineration"
"of the Volcano"	"of the Volcano"
"of Shock"	"of Shock"
"of Zapping"	"of Zapping"
"of Electrocution"	"of Electrocution"
"of Storms"	"of Storms"
"of Chilling"	"of Chilling"
"of Freezing"	"of Freezing"
"of Frost"	"of Frost"
"of Blizzards"	"of Blizzards"
"of Blight"	"of Blight"
"of Venom"	"of Venom"
"of Pestilence"	"of Pestilence"
"of Anthrax"	"of Anthrax"
"ModStrch"	"(Synergy Bonus)"
"ModStrNecFire"	"Fire Golem Holy Fire Aura Damage"
"ModStrNecSkeli"	"Get 1 Skeleton per 5 Level in Raise Skeleton and Raise Skeleton Mage (Sets Golem to 1 Life)"
"increasedwithdex"	"(Based on Dexterity)"
"increasedwithstr"	"(Based on Strength)"
"ModStrBarbWarCry"	"increased Warcry Effect"
"ModStrBarbLtngSkill"	"to Barbarian Lightning Skill Damage"
"ModStrBarbThunder"	"increased Thunderstorm Frequency"
"ModStrBarbFrenzy"	"Frenzy Duration"
"ModStrBarbFrenzy2"	"Frenzy Damage converted to Magic Damage"
"ModStrBarbMagic"	"to Barbarian Magic Melee Skill Damage"
"ModStrDruidBoulder"	"to Molten Boulder Explosion Radius"
"ModStrDruidSpike"	"increased Earth Spikes Frequency and Radius"
"ModStrDruidWolves"	"increased Wolf Damage (x4)"
"ModStrDruidWolves2"	"additional Wolves"
"ModStrDruidCharge"	"additional Bolts released by Charged Claws"
"ModStrDruidShock"	"Additional Shockwave Missiles"
"increasedwithmana"	"(Based on Mana)"
"ModStrSorcTwister"	"Twister Damage also benefits from 1/2 of % Cold Skill Damage"
"Modlife"	"to Life"
"increasedwithenr"	"(Based on Energy)"
"ModStrSorcShower"	"Meteor Shower Frequency"
"Skillname500"	"Bone Circle"
"Skillan500"	"Bone Circle"
"Skillsd500"	"summon a spiraling magic Skull"
"Skillld500"	"spirals outwards damaging enemies it hits\nsummons a magic Skull that"
"Skillname501"	"Devil's Hand"
"Skillan501"	"Devil's Hand"
"Skillsd501"	"\purple;(Necromancer Skill - Curses)\grey;\ndebuff slowing enemies down with additional cold damage"
"Skillld501"	"from icy abyss deeps that will catch enemy's souls\nchannel dark forces to cast a devil's hand"
"Skillname502"	"Minion Explosion"
"Skillan502"	"Minion Explosion"
"Skillsd502"	"\purple;(Necromancer Skill - Summoning Spells)\grey;\ntarget your minion to release two ice waves"
"Skillld502"	"freezing nearby enemies for 1 second\nsacrifice your minion to release two ice waves of death"
"Skillname503"	"Essence Shift"
"Skillan503"	"Essence Shift"
"Skillsd503"	"\purple;(Necromancer Skill - Summoning Spells)\grey;\ninstantly moves to destination and debuff enemies"
"Skillld503"	"reduces enemy's critical chance and attack rating for 2 seconds\nteleports you and your allies releasing a nova that"
