Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add	sort
Sturdy	100	1	1	1	10	1				28	101	ac%		10	20											armo												0	0	0	1
Sturdy	100	1	1	5	15	3				28	101	ac%		21	30											armo												0	0	0	2
Sturdy	100	1	1	10	20	6				28	101	ac%		31	45											armo												0	0	0	3
Strong	100	1	1	15	35	12				28	101	ac%		46	60											armo												0	0	0	4
Strong	100	1	1	20	45	18				28	101	ac%		61	80											armo												0	0	0	5
Strong	100	1	1	25	60	24				28	101	ac%		81	100											armo												0	0	0	6
Glorious	100	1	1	35	80	33				28	101	ac%		101	125											armo												0	0	0	7
Glorious	100	1	1	45	95	42				28	101	ac%		126	150											armo												0	0	0	8
Glorious	100	1	1	60		48				26	101	ac%		151	180											armo												0	0	0	9
Blessed	100	1	1	80		60				24	101	ac%		181	210											armo												0	0	0	10
Blessed	100	1	1	95		66				22	101	ac%		211	245											tors	shld											0	0	0	11
Godly	100	1	1	95		66				20	101	ac%		246	270											tors												0	0	0	12
																																									13
Stout	100	1	1	1	10	1				28	102	ac		10	25											armo												0	0	0	14
Stout	100	1	1	5	15	3				28	102	ac		26	40											armo												0	0	0	15
Stout	100	1	1	10	20	6				28	102	ac		41	60											armo												0	0	0	16
Burly	100	1	1	15	35	12				28	102	ac		61	80											armo												0	0	0	17
Burly	100	1	1	20	45	18				28	102	ac		81	105											armo												0	0	0	18
Burly	100	1	1	25	60	24				28	102	ac		106	130											armo												0	0	0	19
Stalwart	100	1	1	35	80	33				28	102	ac		131	160											armo												0	0	0	20
Stalwart	100	1	1	45	95	42				28	102	ac		161	190											armo												0	0	0	21
Stalwart	100	1	1	60		48				26	102	ac		191	225											armo												0	0	0	22
Saintly	100	1	1	80		60				24	102	ac		226	260											armo												0	0	0	23
Saintly	100	1	1	95		66				22	102	ac		261	300											tors	shld											0	0	0	24
Holy	100	1	1	95		66				20	102	ac		301	340											tors												0	0	0	25
																																									26
Armadillo's	100	1	1	20	60	18				22	103	ac%		20	40	ease		5	10							armo												0	0	0	27
Armadillo's	100	1	1	60		48				20	103	ac%		41	60	ease		11	15							armo												0	0	0	28
Rhino's	100	1	1	80		60				18	103	ac%		61	80	ease		16	20							tors	shld											0	0	0	29
Rhino's	100	1	1	95		66				16	103	ac%		81	100	ease		21	25							tors												0	0	0	30
																																									31
Elephant's	100	1	1	20	60	18				22	103	ac		20	40	hp		15	20							armo												0	0	0	32
Elephant's	100	1	1	60		48				20	103	ac		41	60	hp		21	25							armo												0	0	0	33
Mammoth's	100	1	1	80		60				18	103	ac		61	80	hp		26	30							tors	shld											0	0	0	34
Mammoth's	100	1	1	95		66				16	103	ac		81	100	hp		31	35							tors												0	0	0	35
																																									36
Sanguine	100	1	1	1	10	1				28	104	hp		1	5											armo												0	0	0	37
Sanguine	100	1	1	5	15	3				28	104	hp		6	10											armo												0	0	0	38
Sanguine	100	1	1	10	20	6				28	104	hp		11	20											armo												0	0	0	39
Fecund	100	1	1	15	35	12				28	104	hp		21	30											armo												0	0	0	40
Fecund	100	1	1	20	45	18				28	104	hp		31	40											armo												0	0	0	41
Fecund	100	1	1	25	60	24				28	104	hp		41	50											armo												0	0	0	42
Rapturous	100	1	1	35		33				28	104	hp		51	60											helm	glov	belt	boot									0	0	0	43
Rapturous	100	1	1	45		42				28	104	hp		61	70											helm	glov	belt	boot									0	0	0	44
Rapturous	100	1	1	35	80	33				28	104	hp		51	60											armo												0	0	0	45
Rapturous	100	1	1	45	95	42				28	104	hp		61	70											armo												0	0	0	46
Rapturous	100	1	1	60		48				26	104	hp		71	80											armo												0	0	0	47
Vigorous	100	1	1	80		60				24	104	hp		81	90											tors	shld	helm										0	0	0	48
Vigorous	100	1	1	95		66				22	104	hp		91	100											tors	shld											0	0	0	49
Prime	100	1	1	95		66				20	104	hp		101	110											tors												0	0	0	50
																																									51
Virile	100	1	1	20	60	18				16	105	hp%		4	6											tors	belt											0	0	0	52
Virile	100	1	1	60		48				14	105	hp%		7	9											tors	belt											0	0	0	53
Vivid	100	1	1	80		60				12	105	hp%		10	12											tors	belt											0	0	0	54
Vivid	100	1	1	95		66				10	105	hp%		13	15											tors												0	0	0	55
																																									56
Gladiator's	100	1	1	20	60	18				16	105	red-dmg%		4	6											tors	shld											0	0	0	57
Gladiator's	100	1	1	60		48				14	105	red-dmg%		7	9											tors	shld											0	0	0	58
Legend's	100	1	1	80		60				12	105	red-dmg%		10	12											tors	shld											0	0	0	59
Legend's	100	1	1	95		66				10	105	red-dmg%		13	15											tors												0	0	0	60
																																									61
Brisk	100	1	1	5	15	3				38	106	move1		5	10											boot												0	0	0	62
Brisk	100	1	1	15	35	12				38	106	move1		11	15											boot												0	0	0	63
Brisk	100	1	1	25	60	24				36	106	move1		16	20											boot												0	0	0	64
Swift	100	1	1	45	95	42				34	106	move2		21	25											boot												0	0	0	65
Swift	100	1	1	80		60				32	106	move2		26	30											boot												0	0	0	66
Swift	100	1	1	95		66				30	106	move2		31	35											boot												0	0	0	67
																																									68
Lizard's	100	1	1	1	10	1				22	107	mana		1	5											armo												0	0	0	69
Lizard's	100	1	1	5	15	3				22	107	mana		6	10											armo												0	0	0	70
Lizard's	100	1	1	10	20	6				22	107	mana		11	20											armo												0	0	0	71
Snake's	100	1	1	15	35	12				22	107	mana		21	30											armo												0	0	0	72
Snake's	100	1	1	20	45	18				22	107	mana		31	40											armo												0	0	0	73
Snake's	100	1	1	25	60	24				22	107	mana		41	50											armo												0	0	0	74
Serpent's	100	1	1	35		33				22	107	mana		51	60											shld	glov	belt	boot									0	0	0	75
Serpent's	100	1	1	45		42				22	107	mana		61	70											shld	glov	belt	boot									0	0	0	76
Serpent's	100	1	1	35	80	33				22	107	mana		51	60											armo												0	0	0	77
Serpent's	100	1	1	45	95	42				22	107	mana		61	70											armo												0	0	0	78
Serpent's	100	1	1	60		48				20	107	mana		71	80											armo												0	0	0	79
Wyrm's	100	1	1	80		60				18	107	mana		81	90											tors	helm											0	0	0	80
Wyrm's	100	1	1	95		66				16	107	mana		91	100											tors	helm											0	0	0	81
Great Wyrm's	100	1	1	95		66				14	107	mana		101	110											tors												0	0	0	82
																																									83
Sage	100	1	1	20	60	18				16	108	mana%		6	8	dmg-to-mana		9	11							tors	helm											0	0	0	84
Sage	100	1	1	60		48				14	108	mana%		9	10	dmg-to-mana		12	14							tors	helm											0	0	0	85
Omniscient	100	1	1	80		60				12	108	mana%		11	13	dmg-to-mana		15	17							tors	helm											0	0	0	86
Omniscient	100	1	1	95		66				10	108	mana%		15	17	dmg-to-mana		18	20							tors												0	0	0	87
																																									88
Pixie's	100	1	1	5		24				8	109	sock		1	2											glov	belt	boot										0	0	0	89
Pixie's	100	1	1	5	80	24				8	109	sock		1	2											tors	shld	helm										0	0	0	90
Seraphim's	100	1	1	25		33				6	109	sock		2	3											shld	helm											0	0	0	91
Seraphim's	100	1	1	25		33				6	109	sock		2	3											tors												0	0	0	92
Seraphim's	100	1	1	45		42				4	109	sock		3	4											tors												0	0	0	93
Djinn's	100	1	1	80		60				1	109	sock		4	5											tors												0	0	0	94
Djinn's	100	1		95		66				1	109	sock		5	6											tors												0	0	0	95
																																									96
Rainbow	100	1	1	1	10	1				28	110	res-all		1	2											tors	shld											0	0	0	97
Rainbow	100	1	1	5	15	3				28	110	res-all		3	5											tors	shld											0	0	0	98
Rainbow	100	1	1	10	20	6				28	110	res-all		6	8											tors	shld											0	0	0	99
Shimmering	100	1	1	15	35	12				28	110	res-all		9	11											tors	shld											0	0	0	100
Shimmering	100	1	1	20	45	18				28	110	res-all		12	14											tors	shld											0	0	0	101
Shimmering	100	1	1	25	60	24				28	110	res-all		15	17											tors	shld											0	0	0	102
Scintillating	100	1	1	35		33				28	110	res-all		18	20											tors												0	0	0	103
Scintillating	100	1	1	45		42				28	110	res-all		21	23											tors												0	0	0	104
Scintillating	100	1	1	35	80	33				28	110	res-all		18	20											shld												0	0	0	105
Scintillating	100	1	1	45	95	42				28	110	res-all		21	23											shld												0	0	0	106
Scintillating	100	1	1	60		48				26	110	res-all		24	26											shld												0	0	0	107
Prismatic	100	1	1	80		60				24	110	res-all		27	29											shld												0	0	0	108
