Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add	sort
of Might	100	1	1	1	10	1				24	1	str		2	4											armo										0	0	0	1
of Might	100	1	1	5	15	3				24	1	str		5	7											armo										0	0	0	2
of Might	100	1	1	10	20	6				24	1	str		8	10											armo										0	0	0	3
of the Ox	100	1	1	15	35	12				24	1	str		11	13											armo										0	0	0	4
of the Ox	100	1	1	20	45	18				24	1	str		14	16											armo										0	0	0	5
of the Ox	100	1	1	25	60	24				24	1	str		17	19											armo										0	0	0	6
of the Giant	100	1	1	35		33				24	1	str		20	22											glov	helm	boot	shld							0	0	0	7
of the Giant	100	1	1	45		42				24	1	str		23	25											glov	helm	boot	shld							0	0	0	8
of the Giant	100	1	1	35	80	33				24	1	str		20	22											tors	belt									0	0	0	9
of the Giant	100	1	1	45	95	42				24	1	str		23	25											tors	belt									0	0	0	10
of the Giant	100	1	1	60		48				22	1	str		26	30											tors	belt									0	0	0	11
of the Titan	100	1	1	80		60				20	1	str		31	35											tors	belt									0	0	0	12
of the Titan	100	1	1	95		66				18	1	str		36	40											tors										0	0	0	13
of Atlas	100	1	1	95		66				16	1	str		41	45											tors										0	0	0	14
																																							15
of the Phantom	100	1	1	1	10	1				24	2	dex		2	4											armo										0	0	0	16
of the Phantom	100	1	1	5	15	3				24	2	dex		5	7											armo										0	0	0	17
of the Phantom	100	1	1	10	20	6				24	2	dex		8	10											armo										0	0	0	18
of the Wind	100	1	1	15	35	12				24	2	dex		11	13											armo										0	0	0	19
of the Wind	100	1	1	20	45	18				24	2	dex		14	16											armo										0	0	0	20
of the Wind	100	1	1	25	60	24				24	2	dex		17	19											armo										0	0	0	21
of Precision	100	1	1	35		33				24	2	dex		20	22											helm	belt	boot	shld							0	0	0	22
of Precision	100	1	1	45		42				24	2	dex		23	25											helm	belt	boot	shld							0	0	0	23
of Precision	100	1	1	35	80	33				24	2	dex		20	22											tors	glov									0	0	0	24
of Precision	100	1	1	45	95	42				24	2	dex		23	25											tors	glov									0	0	0	25
of Precision	100	1	1	60		48				22	2	dex		26	30											tors	glov									0	0	0	26
of Perfection	100	1	1	80		60				20	2	dex		31	35											tors	glov									0	0	0	27
of Perfection	100	1	1	95		66				18	2	dex		36	40											tors										0	0	0	28
of Nirvana	100	1	1	95		66				16	2	dex		41	45											tors										0	0	0	29
																																							30
of the Mind	100	1	1	1	10	1				24	3	enr		2	4											armo										0	0	0	31
of the Mind	100	1	1	5	15	3				24	3	enr		5	7											armo										0	0	0	32
of the Mind	100	1	1	10	20	6				24	3	enr		8	10											armo										0	0	0	33
of Brilliance	100	1	1	15	35	12				24	3	enr		11	13											armo										0	0	0	34
of Brilliance	100	1	1	20	45	18				24	3	enr		14	16											armo										0	0	0	35
of Brilliance	100	1	1	25	60	24				24	3	enr		17	19											armo										0	0	0	36
