Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	dex		1	5							tors	helm	glov	boot							0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	dex		8	12							tors	helm	glov	boot							0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	dex		15	19							tors	helm	glov	boot							0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	dex		22	26							tors	helm	glov	boot							0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	dex		29	33							tors	helm	glov	boot							0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	dex		36	40							tors	helm	glov	boot							0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	dex%		6	12							tors	helm	glov	boot							0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	enr		1	5							tors	helm	glov	boot							0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	enr		8	12							tors	helm	glov	boot							0	0	0
null	100	1	1	25		24			32	901	tinkerflag2		10	30	enr		15	19							tors	helm	glov	boot							0	0	0
null	100	1	1	45		33			32	901	tinkerflag2		10	30	enr		22	26							tors	helm	glov	boot							0	0	0
null	100	1	1	60		42			16	901	tinkerflag2		10	30	enr		29	33							tors	helm	glov	boot							0	0	0
null	100	1	1	80		60			8	901	tinkerflag2		10	30	enr		36	40							tors	helm	glov	boot							0	0	0
null	100	1	1	95		66			2	901	tinkerflag2		10	30	enr%		6	12							tors	helm	glov	boot							0	0	0
																																					
null	100	1	1	5	45	3			32	901	tinkerflag2		10	30	str		1	5							tors	helm	glov	boot							0	0	0
null	100	1	1	15	60	12			32	901	tinkerflag2		10	30	str		8	12							tors	helm	glov	boot							0	0	0
